Timestamp, Acceleration x, Acceleration y, Acceleration z
40,-0.114258,-0.919434,0.328125,
60,-0.120605,-0.91748,0.338867,
80,-0.120117,-0.920898,0.351563,
100,-0.12793,-0.90625,0.338867,
110,-0.128418,-0.906738,0.334473,
110,-0.14209,-0.916504,0.338379,
150,-0.149902,-0.911133,0.33252,
170,-0.151367,-0.905273,0.337402,
190,-0.147949,-0.897461,0.340332,
210,-0.147949,-0.908691,0.342285,
230,-0.143066,-0.911621,0.353516,
250,-0.149414,-0.88623,0.353027,
270,-0.151367,-0.875488,0.356934,
290,-0.125977,-0.867188,0.323242,
310,-0.149902,-0.873535,0.338379,
330,-0.149902,-0.873535,0.313477,
350,-0.166504,-0.882813,0.331055,
370,-0.158203,-0.910645,0.364746,
390,-0.147949,-0.90918,0.374512,
410,-0.165527,-0.891113,0.373047,
430,-0.163086,-0.902832,0.378418,
450,-0.166992,-0.904785,0.368652,
470,-0.166992,-0.887207,0.362793,
490,-0.169434,-0.881836,0.350586,
510,-0.172852,-0.881348,0.320801,
530,-0.17627,-0.890625,0.331543,
550,-0.15918,-0.898926,0.331543,
570,-0.150879,-0.918457,0.335449,
590,-0.162598,-0.90918,0.344238,
610,-0.15332,-0.891602,0.332031,
630,-0.164063,-0.918945,0.34375,
650,-0.160645,-0.926758,0.338867,
670,-0.162109,-0.911621,0.345215,
690,-0.168945,-0.901855,0.347168,
710,-0.162598,-0.902344,0.352539,
730,-0.159668,-0.90625,0.352051,
750,-0.166992,-0.894531,0.358398,
770,-0.166504,-0.896484,0.344238,
790,-0.165527,-0.913086,0.352051,
810,-0.159668,-0.912109,0.352051,
830,-0.164063,-0.903809,0.351563,
850,-0.165039,-0.913574,0.343262,
870,-0.162598,-0.897461,0.347168,
890,-0.162109,-0.901367,0.342285,
910,-0.164063,-0.906738,0.350098,
930,-0.161621,-0.888672,0.345215,
950,-0.160156,-0.901855,0.349121,
970,-0.165527,-0.901855,0.354492,
990,-0.164551,-0.897949,0.352539,
1010,-0.167969,-0.89209,0.363281,
1030,-0.161133,-0.893555,0.354492,
1050,-0.166992,-0.888672,0.353516,
1070,-0.159668,-0.887207,0.353516,
1090,-0.16748,-0.88916,0.356445,
1110,-0.149414,-0.900879,0.358887,
1130,-0.165527,-0.899414,0.360352,
1150,-0.162598,-0.89209,0.359375,
1170,-0.149414,-0.893066,0.356934,
1190,-0.171875,-0.894531,0.357422,
1210,-0.160645,-0.900879,0.360352,
1230,-0.160156,-0.893066,0.355957,
1250,-0.17041,-0.88916,0.358887,
1270,-0.163086,-0.900879,0.356934,
1290,-0.167969,-0.898438,0.361328,
1310,-0.158691,-0.900879,0.351074,
1330,-0.166992,-0.90918,0.359375,
1350,-0.154785,-0.899414,0.353027,
1370,-0.162109,-0.888184,0.355957,
1390,-0.153809,-0.88916,0.350586,
1410,-0.168457,-0.900391,0.360352,
1430,-0.15625,-0.903809,0.350098,
1450,-0.166992,-0.896973,0.351074,
1470,-0.150879,-0.897461,0.354004,
1490,-0.172852,-0.901855,0.350098,
1510,-0.160645,-0.898438,0.357422,
1530,-0.166016,-0.893066,0.353516,
1550,-0.164551,-0.90332,0.355957,
1570,-0.165527,-0.897949,0.349609,
1590,-0.162598,-0.894531,0.35791,
1610,-0.158691,-0.891113,0.356934,
1630,-0.162109,-0.894043,0.358398,
1650,-0.154785,-0.901855,0.355957,
1670,-0.166992,-0.902344,0.348633,
1690,-0.154785,-0.912598,0.353516,
1710,-0.154297,-0.898438,0.353027,
1730,-0.166992,-0.898926,0.358887,
1750,-0.157227,-0.898926,0.359863,
1770,-0.169922,-0.89209,0.352539,
1790,-0.161621,-0.900391,0.353027,
1810,-0.163086,-0.901367,0.352051,
1830,-0.160156,-0.896973,0.353027,
1850,-0.168457,-0.90332,0.351563,
1870,-0.158203,-0.905273,0.36084,
1890,-0.160156,-0.883301,0.35791,
1910,-0.156738,-0.892578,0.356934,
1930,-0.161133,-0.88623,0.36377,
1950,-0.155762,-0.891602,0.361816,
1970,-0.172852,-0.936523,0.362305,
1990,-0.177246,-0.929199,0.367676,
2010,-0.146484,-0.90625,0.373047,
2030,-0.139648,-0.880859,0.37207,
2050,-0.105957,-0.88916,0.40332,
2070,-0.169434,-0.89502,0.390625,
2090,-0.0893555,-0.800781,0.47998,
2110,-0.135254,-0.848633,0.40918,
2130,-0.214355,-1.06201,0.418457,
2150,-0.189453,-0.932129,0.331543,
2170,-0.179199,-0.917969,0.37207,
2190,-0.231445,-0.975586,0.352051,
2210,-0.234863,-0.872559,0.161133,
2230,-0.31543,-0.849609,0.0576172,
2250,-0.352539,-0.827637,0.138184,
2270,-0.333496,-0.805664,0.300293,
2290,-0.285156,-0.885254,0.424805,
2310,-0.109863,-0.962402,0.331055,
2330,-0.321289,-1.05029,0.400391,
2350,-0.245117,-1.00098,0.5,
2370,-0.189941,-1.01172,0.489258,
2390,-0.173828,-1.09131,0.422363,
2410,-0.165527,-1.05811,0.468262,
2430,-0.154297,-1.03662,0.470215,
2450,-0.133789,-0.989258,0.444336,
2470,-0.0961914,-0.97168,0.443359,
2490,-0.0253906,-0.94873,0.448242,
2510,-0.00292969,-0.918457,0.460449,
2530,-0.0102539,-0.917969,0.437988,
2550,0.0170898,-0.850586,0.434082,
2570,0.0078125,-0.825684,0.458984,
2590,-0.00244141,-0.76416,0.412598,
2610,0,-0.751953,0.328125,
2630,0.0253906,-0.708496,0.365234,
2650,0.0415039,-0.730957,0.383301,
2670,0.0625,-0.763184,0.360352,
2690,0.0732422,-0.759277,0.372559,
2700,0.100098,-0.774414,0.398926,
2720,0.136719,-0.775391,0.426758,
2740,0.133789,-0.786133,0.437988,
2760,0.117676,-0.76709,0.375488,
2780,0.122559,-0.784668,0.377441,
2800,0.120605,-0.784668,0.401367,
2820,0.131348,-0.777344,0.430176,
2840,0.122559,-0.78418,0.368652,
2860,0.121582,-0.801758,0.333496,
2880,0.137207,-0.802246,0.375977,
2900,0.16748,-0.815918,0.416504,
2920,0.148926,-0.804199,0.383789,
2940,0.123535,-0.806152,0.358398,
2960,0.138184,-0.821777,0.371582,
2980,0.137695,-0.85498,0.405762,
3000,0.114258,-0.854004,0.395996,
3020,0.0976563,-0.838867,0.372559,
3040,0.0976563,-0.842773,0.391602,
3060,0.0776367,-0.86084,0.393555,
3080,0.050293,-0.867676,0.384766,
3100,0.0532227,-0.830566,0.383789,
3120,0.0581055,-0.870605,0.411621,
3140,0.0361328,-0.897949,0.420898,
3160,0.0146484,-0.875977,0.403809,
3180,0.00195313,-0.889648,0.413574,
3200,0.0117188,-0.90625,0.414063,
3220,-0.00292969,-0.918945,0.394043,
3240,-0.0263672,-0.885742,0.393555,
3260,-0.0126953,-0.894531,0.392578,
3280,-0.0102539,-0.941895,0.390137,
3300,-0.0136719,-0.909668,0.393066,
3320,0.0375977,-0.908691,0.42041,
3340,0.0292969,-0.964355,0.394531,
3360,0.0297852,-0.950195,0.355957,
3380,0.0395508,-0.959961,0.401367,
3400,0.0239258,-0.97998,0.458984,
3420,0.0112305,-0.969727,0.433594,
3440,-0.0410156,-0.947754,0.408203,
3460,-0.0556641,-0.978027,0.427246,
3480,-0.0556641,-0.983887,0.439941,
3500,-0.0771484,-0.989746,0.494629,
3520,-0.0717773,-1.04102,0.547852,
3540,-0.0649414,-1.03662,0.538574,
3560,-0.0986328,-0.975098,0.496582,
3580,-0.0756836,-1.0083,0.523438,
3600,-0.0683594,-1.0249,0.557129,
3620,-0.0566406,-0.976563,0.554199,
3640,-0.0268555,-0.967285,0.555176,
3660,-0.050293,-0.941895,0.54248,
3680,-0.0170898,-0.893066,0.550781,
3700,0.0136719,-0.844727,0.570313,
3720,0.0258789,-0.845215,0.543457,
3740,0.0151367,-0.791992,0.494141,
3760,0.0170898,-0.770508,0.494141,
3780,0.0405273,-0.768555,0.515137,
3800,0.0576172,-0.741211,0.478027,
3820,0.0615234,-0.710938,0.461426,
3840,0.0712891,-0.706543,0.487305,
3860,0.0805664,-0.699219,0.504395,
3880,0.104492,-0.663086,0.474121,
3900,0.120605,-0.63916,0.45752,
3920,0.155762,-0.674805,0.460449,
3940,0.165039,-0.659668,0.418945,
3960,0.177246,-0.663086,0.358887,
3980,0.207031,-0.67334,0.414063,
4000,0.227051,-0.662598,0.468262,
4020,0.21582,-0.625488,0.428223,
4040,0.217285,-0.621094,0.359375,
4060,0.206543,-0.638672,0.394531,
4080,0.199219,-0.689453,0.390137,
4100,0.200684,-0.713867,0.32373,
4120,0.221191,-0.669434,0.327148,
4140,0.230469,-0.693359,0.362793,
4160,0.224609,-0.73877,0.375488,
4180,0.215332,-0.756348,0.294434,
4200,0.221191,-0.726074,0.290527,
4220,0.185059,-0.759766,0.328125,
4240,0.154297,-0.805176,0.380859,
4260,0.169434,-0.794434,0.376465,
4280,0.125,-0.818848,0.37207,
4300,0.0751953,-0.83252,0.378418,
4320,0.0717773,-0.853027,0.388672,
4340,0.0668945,-0.882324,0.405762,
4360,0.0605469,-0.95459,0.453613,
4380,0.0249023,-0.941895,0.427246,
4400,0.0317383,-0.9375,0.441406,
4420,-0.00878906,-0.950195,0.439453,
4440,-0.0507813,-0.931641,0.382813,
4460,-0.0249023,-0.946289,0.437012,
4480,-0.0327148,-0.981445,0.450684,
4500,-0.0625,-0.985352,0.455078,
4520,-0.0839844,-0.935547,0.445801,
4540,-0.0869141,-0.993652,0.44043,
4560,-0.0952148,-1.0542,0.438965,
4580,-0.09375,-1.0376,0.484375,
4600,-0.105469,-0.983887,0.45459,
4620,-0.0371094,-0.997559,0.4375,
4630,-0.0605469,-1.03857,0.461914,
4650,-0.074707,-0.958496,0.422852,
4670,-0.0522461,-0.939453,0.446777,
4690,-0.0458984,-1.00244,0.472656,
4710,-0.0561523,-0.974609,0.492188,
4730,-0.0488281,-0.97168,0.524414,
4750,-0.0292969,-0.995117,0.556641,
4770,-0.0444336,-1.01318,0.515137,
4790,-0.0947266,-0.975098,0.479004,
4810,-0.117188,-0.950684,0.523926,
4830,-0.127441,-0.947754,0.566406,
4850,-0.119141,-0.918457,0.552734,
4870,-0.0883789,-0.897461,0.556641,
4890,-0.078125,-0.893555,0.566895,
4910,-0.09375,-0.833496,0.545898,
4930,-0.0649414,-0.820801,0.559082,
4950,-0.043457,-0.814941,0.556641,
4970,-0.0185547,-0.799316,0.550781,
4990,-0.0117188,-0.776855,0.540527,
5010,-0.00927734,-0.721191,0.564453,
5030,0.0126953,-0.69873,0.554688,
5050,0.046875,-0.688965,0.541504,
5070,0.0488281,-0.676758,0.495117,
5090,0.0751953,-0.67041,0.481934,
5110,0.0947266,-0.682617,0.483398,
5130,0.120605,-0.65332,0.46875,
5150,0.133301,-0.631348,0.48877,
5170,0.138672,-0.631836,0.472656,
5190,0.158203,-0.621582,0.433594,
5210,0.164063,-0.603027,0.361816,
5230,0.181152,-0.623535,0.375,
5250,0.192383,-0.664551,0.415039,
5270,0.218262,-0.667969,0.444336,
5290,0.216797,-0.666016,0.393555,
5310,0.259277,-0.732422,0.425293,
5330,0.271973,-0.776367,0.453125,
5350,0.272461,-0.741211,0.447266,
5370,0.241211,-0.746582,0.365723,
5390,0.246094,-0.79248,0.306641,
5410,0.220215,-0.767578,0.286133,
5430,0.253906,-0.743652,0.289063,
5450,0.232422,-0.776855,0.320313,
5470,0.23584,-0.775879,0.349121,
5490,0.201172,-0.831055,0.325195,
5510,0.192871,-0.827148,0.366211,
5530,0.166992,-0.79834,0.344727,
5550,0.157715,-0.844238,0.374512,
5570,0.134277,-0.912109,0.369629,
5590,0.111816,-0.893066,0.346191,
5610,0.105469,-0.888672,0.393555,
5630,0.0766602,-0.969238,0.439453,
5650,0.0644531,-0.978516,0.415527,
5670,0.0195313,-0.932129,0.368652,
5690,0.0405273,-0.942871,0.410156,
5710,0.0405273,-1.02246,0.463867,
5730,0.00683594,-1.00391,0.421875,
5750,-0.0302734,-0.937988,0.436523,
5770,-0.0209961,-1.0415,0.435547,
5790,-0.0351563,-1.06982,0.462891,
5810,-0.0332031,-1.02051,0.473633,
5830,0.0151367,-1.04053,0.456543,
5850,-0.0571289,-1.06152,0.408691,
5870,-0.065918,-1.01025,0.366699,
5890,-0.0380859,-0.953125,0.412109,
5910,-0.0371094,-0.991699,0.47168,
5930,-0.0390625,-1.00977,0.459473,
5950,-0.0356445,-0.949707,0.42627,
5970,0,-0.975586,0.470215,
5990,-0.015625,-1.02148,0.463867,
6010,-0.0307617,-0.992188,0.487305,
6030,-0.015625,-0.942871,0.514648,
6050,-0.0209961,-0.9375,0.495117,
6070,-0.050293,-0.928711,0.495117,
6090,-0.0878906,-0.880859,0.461426,
6110,-0.0258789,-0.855469,0.581055,
6130,-0.0166016,-0.891602,0.570313,
6150,-0.0351563,-0.862305,0.488281,
6170,-0.0249023,-0.800781,0.475586,
6190,-0.00390625,-0.783203,0.536621,
6210,-0.0151367,-0.791504,0.517578,
6230,-0.00585938,-0.746582,0.502441,
