Timestamp, Rotation x, Rotation y, Rotation z
40,4.375,-1.875,9.0625,
60,5.5,-2.875,9.0625,
80,4.9375,-2.25,9.5,
100,2.9375,-1.25,10.875,
110,-0.3125,1.125,10.25,
110,1.375,-0.25,10.75,
150,3,-0.6875,10.5625,
170,4.5625,-0.375,9.1875,
190,4.75,-0.8125,8.75,
210,4.75,0.8125,7.8125,
230,3.875,1.125,7.875,
250,5,0.875,8.8125,
270,3.375,0.5,7.6875,
290,1.5625,1.375,6.5625,
310,4,-0.4375,5.3125,
330,3.9375,-1.875,4.375,
350,3.8125,-3.75,2.5,
370,2.6875,-4.8125,1.5625,
390,2.375,-4.375,1.9375,
410,1.375,-3.3125,2.5625,
430,-1.75,-3.0625,2.6875,
450,-3.9375,-1.6875,3.125,
470,-4.375,-0.9375,3.6875,
490,-5.125,0.25,3.625,
510,-5.25,0.6875,2.25,
530,-2.625,-0.8125,0.25,
550,-1.625,-1.625,-0.5625,
570,0.5,-1.125,-1.0625,
590,1.625,-1.625,-1.1875,
610,0.0625,-1.8125,-1.1875,
630,-1.5,-2,-0.9375,
650,0.75,-2.125,-0.375,
670,1.9375,-1.75,0.3125,
690,1.125,-1.8125,0.4375,
710,1.1875,-1.375,0.4375,
730,0.4375,-0.875,0.3125,
750,2.625,-1.0625,0.9375,
770,-0.25,0.25,0,
790,0.5,0.5,-0.3125,
810,3.25,-0.1875,0.375,
830,2.9375,0.625,0.5625,
850,0.875,0.875,0.375,
870,2.25,-0.5,1.25,
890,1.4375,0.3125,1.1875,
910,2.3125,-0.4375,0.9375,
930,3.5625,-0.3125,0.9375,
950,3.75,-0.5625,0.375,
970,3.8125,-0.4375,0.75,
990,2.125,-1.0625,0.5625,
1010,1.75,-0.6875,0.625,
1030,1.5,-0.75,0.625,
1050,1.875,-0.5,0.3125,
1070,1.625,-0.875,0.3125,
1090,2.3125,-1.375,-0.1875,
1110,-0.1875,-1,-0.3125,
1130,0.3125,-0.8125,0.375,
1150,1.1875,-1.0625,-0.375,
1170,-0.75,-0.625,0.4375,
1190,-0.0625,-0.4375,0.0625,
1210,0.625,-0.4375,-0.75,
1230,-0.0625,-0.375,0.125,
1250,-1.6875,0.3125,-0.6875,
1270,-1.3125,0.0625,-0.4375,
1290,-0.125,-0.1875,-0.4375,
1310,-1.25,0.125,-0.5,
1330,-0.0625,-0.0625,-0.25,
1350,0.875,-0.1875,0.125,
1370,0.125,0.125,0,
1390,-1.5625,-0.0625,-0.4375,
1410,-0.625,0,-0.4375,
1430,-0.4375,-0.1875,-0.125,
1450,-0.25,-0.3125,-0.0625,
1470,-1,-0.25,-0.3125,
1490,-0.625,-0.4375,0,
1510,-0.25,-0.4375,-0.3125,
1530,-0.3125,-0.1875,-0.3125,
1550,-0.1875,-0.25,-0.375,
1570,0.375,-0.375,0,
1590,0.875,-0.4375,-0.3125,
1610,0.1875,-0.4375,-0.5,
1630,0.625,-0.3125,-0.8125,
1650,-0.625,-0.4375,-0.625,
1670,-0.125,-0.3125,-0.375,
1690,0.625,-0.375,-0.5,
1710,0.75,-0.4375,0.375,
1730,0.5,-0.3125,0.3125,
1750,0.1875,-0.1875,0.1875,
1770,0.875,-0.1875,0.4375,
1790,1,-0.3125,0.1875,
1810,1.6875,-0.1875,0,
1830,0.75,-0.375,0.25,
1850,0.375,-0.5,0.4375,
1870,1.4375,0,0.4375,
1890,2.5625,-0.25,0.625,
1910,1.0625,-0.0625,0.25,
1930,1.1875,-0.75,-0.25,
1950,1.0625,-0.4375,-0.625,
1970,-0.8125,0.875,0.0625,
1990,0.875,0.875,1.6875,
2010,2.125,1.5,2.125,
2030,-0.5625,2.5625,3.0625,
2050,-12.3125,24.9375,7.0625,
2070,-18,29.75,3.75,
2090,-21.75,49.5,0.6875,
2110,-26.4375,54.375,-7.75,
2130,-25.375,46.5,-6.875,
2150,-16.5625,36.75,-11.9375,
2170,-8.0625,27,-17.0625,
2190,26.125,15.3125,-14,
2210,38.8125,12.4375,-13.375,
2230,21.1875,7.0625,-6.625,
2250,10.9375,3.5,-6.25,
2270,0.375,-2.8125,-13.8125,
2290,-20.125,-5.5625,-19.375,
2310,-21.0625,-2.125,-23.1875,
2330,-1.8125,-4.5625,-28.125,
2350,1.5625,-15.1875,-38.75,
2370,1,-19,-45,
2390,6.8125,-18.5,-50.5625,
2410,23.9375,-24.5,-51.125,
2430,37.25,-31.5,-54.375,
2450,43.8125,-37.625,-55.9375,
2470,40.5,-43.3125,-51.9375,
2490,39.5625,-43.25,-51.375,
2510,40.875,-39.125,-46.75,
2530,38.75,-38.8125,-39.4375,
2550,40.25,-37.0625,-32.5625,
2570,40.75,-34.5625,-24.6875,
2590,39.125,-33.6875,-16.375,
2610,32.6875,-33.75,-7.625,
2630,26.6875,-36.75,-1.3125,
2650,19.75,-38.5,2.0625,
2670,14.9375,-38.0625,7,
2690,12.5,-38.8125,12.25,
2700,5.875,-38.25,14.875,
2720,8.5,-35.5625,17.625,
2740,9.625,-33.5625,20.8125,
2760,12.5625,-30.0625,23.0625,
2780,9.5,-29.6875,24.25,
2800,9.5,-27.625,24.75,
2820,13.5,-26.9375,27.125,
2840,14.75,-23.25,30.5625,
2860,10.5,-19.9375,32.75,
2880,8.25,-19,33.5,
2900,8.8125,-15.5625,34.6875,
2920,9.3125,-12.9375,37.75,
2940,2.875,-8.6875,38.0625,
2960,-3.3125,-4.8125,38.25,
2980,-3.8125,-2.625,38.5625,
3000,-2.125,0.3125,38.6875,
3020,-3.0625,3.0625,38.8125,
3040,-5.4375,6.0625,36.1875,
3060,-7.4375,7.6875,32.875,
3080,-5,9.3125,30,
3100,-7,11.1875,27.3125,
3120,-10.125,14.5,22.75,
3140,-8.25,15.375,18.875,
3160,-7.125,17.1875,15.375,
3180,-8.0625,19.125,11.375,
3200,-8.25,21.0625,7.4375,
3220,-9.25,23.0625,4.625,
3240,-9.5,24.4375,1.125,
3260,-12.375,27.0625,-2.5,
3280,-11.8125,29.3125,-5.0625,
3300,-8.9375,29.5,-8.1875,
3320,-13.25,30.8125,-12.3125,
3340,-15.125,31.25,-14.6875,
3360,-13.6875,31.875,-18.1875,
3380,-17.0625,32.4375,-22.0625,
3400,-16.8125,32.9375,-24.6875,
3420,-14.625,32.8125,-25.5625,
3440,-16,32.8125,-27.875,
3460,-18.625,30.6875,-31.625,
3480,-17.3125,26.375,-34.6875,
3500,-17.6875,22.25,-38.5,
3520,-16.125,20.4375,-41.5625,
3540,-7.8125,18.4375,-43.75,
3560,-3.6875,13,-47.5,
3580,-3.875,6,-51.8125,
