Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
0,3,-6,7,16,8,6,10,2,0
5,-1,-2,3,0,-3,-5,-3,-2,0
10,-8,2,-9,-11,-12,-2,-5,-4,0
15,-3,2,3,-5,-5,-3,-2,-2,0
20,5,-5,5,12,16,5,1,0,0
25,1,0,0,6,5,2,-5,4,0
30,-1,7,-2,-11,-10,-4,-3,-5,0
35,0,-1,-5,-11,-16,1,-4,0,0
40,1,-3,2,9,0,2,2,4,0
45,-3,-5,2,0,-4,-2,7,1,0
50,1,2,-7,-7,0,-6,-3,-10,0
55,-4,1,-8,-2,-4,2,0,-5,0
60,0,-2,5,1,3,-2,-4,14,0
65,-5,1,2,3,0,0,0,2,0
70,-3,-4,-3,-8,-4,0,-5,-7,0
75,1,-3,-2,-3,3,-3,0,-1,0
80,5,-10,0,3,3,2,-1,2,0
85,3,-8,1,5,3,3,4,3,0
90,-9,4,-5,-8,-10,-6,-2,-1,0
95,-1,-3,-2,-2,6,2,-3,-2,0
100,0,-2,4,1,-4,-1,-1,4,0
105,5,-3,0,4,8,0,0,-1,0
110,-5,-4,-3,-4,-1,7,-5,-5,0
115,-7,0,2,0,0,0,1,2,0
120,5,-7,7,16,2,1,1,15,0
125,-2,-2,2,4,0,-3,-1,1,0
130,-7,4,-6,-15,-13,-3,-2,-7,0
135,-4,-3,1,-3,1,2,2,-1,0
140,7,0,6,10,2,-3,3,4,0
145,-1,-2,3,0,-1,0,-1,1,0
150,-7,-2,-9,-11,-6,0,-1,-3,0
155,-4,-6,-5,-11,-12,-1,-4,-3,0
160,3,-2,3,8,4,-2,4,5,0
165,5,-4,-3,5,0,-8,-1,0,0
170,-9,-1,-11,-13,-6,7,1,-7,0
175,-2,2,-3,-5,-2,3,-1,-2,0
180,6,-2,6,6,2,-8,-2,6,0
185,1,-5,-1,-4,-7,-2,-4,-1,0
190,-5,-4,-7,-5,-1,8,1,-8,0
195,0,-3,1,-3,-3,4,0,2,0
200,2,0,-1,6,0,-14,-3,2,0
205,1,4,1,-1,-2,-4,0,-1,0
210,-6,-7,-5,-4,-3,2,-10,-10,0
215,-1,2,-5,-5,-1,-2,-10,-14,0
220,0,3,-2,-24,-2,-65,19,-9,0
