Timestamp, Rotation x, Rotation y, Rotation z
20,7.4375,-2.875,-21.8125,
50,24.5,-10.625,-25.3125,
70,52.375,-23.25,-31.0625,
90,35.6875,-32.8125,-43.1875,
110,-2.875,-36.9375,-55.25,
120,-12.0625,-39.3125,-63.625,
120,5.5,-40.3125,-70,
160,32.0625,-44.75,-72.375,
180,38.75,-45.5625,-70.25,
200,29.125,-43.5,-64.5,
220,16.0625,-37.0625,-60.875,
240,11.8125,-28.875,-55.625,
260,16.6875,-25,-45,
280,19.875,-21.5625,-34.8125,
300,18.125,-17.1875,-25.9375,
320,12.75,-11.6875,-18.1875,
340,10,-6.125,-15.75,
360,13.75,-5.5,-11.75,
380,14.875,-5.4375,-7.125,
400,9.375,-2.1875,-3.8125,
420,6.125,0.25,0.5625,
440,5.1875,3.125,2.9375,
460,8.125,5.625,3.125,
480,8.9375,7.25,3.875,
500,9.875,6.5,8.1875,
520,6.3125,6.1875,10.5,
540,-0.5625,6.875,11.0625,
560,1,6.875,10.1875,
580,2.125,8.4375,9.0625,
600,1.5625,8.25,7.875,
620,2,6.75,7.6875,
640,-1.5625,6.375,7.375,
660,-3.1875,7.8125,6.25,
680,-0.1875,6.8125,5.5,
700,0.3125,5.25,4.6875,
720,0.0625,5.5,4.125,
740,2.25,3.875,5.25,
760,2,1.5625,2.875,
780,0.125,0.4375,1.3125,
800,-1.125,-0.625,2.125,
820,-1.25,-0.75,2.75,
840,-2.375,-0.6875,2.25,
860,-2.5,-0.75,1.5625,
880,0.25,-0.5,0.0625,
900,3.9375,-2,-0.4375,
920,1.8125,-2.9375,-0.625,
940,-3.125,-1.5625,-0.375,
960,-1.375,-1,0,
980,0.5625,-1.0625,0.6875,
1000,2.375,-1.1875,0.125,
1020,2.5,-1,-0.5625,
1040,2.1875,-2.3125,-0.4375,
1060,1.0625,-2.4375,-0.125,
1080,-0.8125,-1.4375,-0.1875,
1100,-2.25,-1.4375,0.375,
1120,-1.875,-1.8125,0.6875,
1140,0.1875,-1.125,1.1875,
1160,-0.1875,-1.875,0.875,
1180,0.3125,-2,1.125,
1200,-2,-1.6875,0.9375,
1220,-2.6875,-0.8125,1.25,
1240,-2.5625,-0.75,2.125,
1260,-1.3125,-1.1875,1.5,
1280,-0.625,-1.25,-0.0625,
1300,0.3125,-1.375,-0.1875,
1320,1.5,-1.4375,-0.5,
1340,0.125,-1.5625,0.0625,
1360,-0.8125,-0.6875,0.6875,
1380,-1.4375,-0.375,0.4375,
1400,-1,-0.1875,0.875,
1420,-0.625,0.25,0.5625,
1440,0.5625,0.1875,0.3125,
1460,1.4375,0.125,0.25,
1480,-0.3125,0.25,1.4375,
1500,-1.0625,0.5625,0.0625,
1520,-1.4375,0.25,0.375,
1540,-1.3125,0.0625,0.75,
1560,-2.0625,0.125,0.3125,
1580,-1.875,-0.625,-0.125,
1600,-1.25,-0.5,-1,
1620,-0.625,-1.125,-1.625,
1640,-0.0625,-1.625,-1.625,
1660,1.5625,-1.375,-1.875,
1680,0.375,-0.5625,-0.8125,
1700,-0.1875,-0.625,-1.125,
1720,-0.5625,-1.4375,-0.625,
1740,-0.5,-1.1875,-0.5,
1760,1.125,-1.25,0.625,
1780,-0.0625,-1.25,0.8125,
1800,-1.3125,-1.125,0.375,
1820,0.4375,-0.6875,0.6875,
1840,1.8125,-0.5,1.5625,
1860,1.3125,-0.5,2,
1880,0.375,-0.375,1.8125,
1900,-1.125,-0.75,1.9375,
1920,-0.625,-0.8125,1.4375,
1940,-0.875,-1.0625,0.5,
1960,0,-1.1875,1,
1980,1.25,-1.625,1.0625,
2000,-0.375,-1.375,1.0625,
2020,-1.9375,-0.6875,1.125,
2040,-2.3125,0.5,1.75,
2060,-0.5,1.0625,3.0625,
2080,0.3125,2,3.4375,
2100,1.6875,1.5,3.9375,
2120,0.875,1.75,5,
2140,-1.5625,2.375,4.6875,
2160,-1.375,2.625,4.5,
2180,0.3125,1.125,3.4375,
