Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8
0,-3,3,-7,-8,1,3,2,-1,
5,3,-4,-20,15,1,-6,-7,-3,
10,1,3,12,0,-1,-4,-1,-1,
15,-6,3,53,6,-1,5,3,-6,
20,3,7,-1,2,4,4,0,-4,
25,3,2,-59,-5,4,0,-2,-4,
30,-1,-8,-53,-7,-5,-4,-5,0,
35,17,6,34,4,-4,1,5,-6,
40,-10,-6,-59,-4,-5,-2,-1,-1,
45,-2,-2,-27,-4,-1,-3,1,-2,
50,4,-1,-16,4,6,2,0,-1,
55,-12,-9,4,-13,-7,-2,-3,-5,
60,5,-2,54,-2,-7,-1,-2,0,
65,-1,3,61,4,0,-4,-1,1,
70,-4,-2,18,-4,-3,-3,-2,3,
75,-6,-2,-9,-4,1,1,0,1,
80,-2,-2,23,4,4,5,1,-2,
85,0,-2,-40,-5,-4,-10,-6,2,
90,1,3,-4,1,0,-3,0,-5,
95,-6,-2,-24,3,0,-1,-5,5,
100,-1,-4,-8,-5,-3,-4,-2,-3,
105,2,1,6,3,0,1,4,-4,
110,0,0,-11,7,3,-1,-2,-1,
115,0,-1,-55,-28,-8,-3,1,0,
120,6,-2,13,6,0,-3,-2,-2,
125,0,6,-12,-1,4,-2,-1,-1,
130,-13,-15,-28,-11,-5,1,-3,0,
135,3,-6,-4,-11,-5,-5,-4,-3,
140,-2,0,-1,12,1,-3,-3,-5,
145,-6,28,17,-9,-4,-1,1,0,
150,-3,-9,24,1,-2,2,1,1,
155,1,-1,16,-4,0,-1,-7,-3,
160,0,5,-17,-7,-2,-3,1,2,
165,1,1,32,6,1,0,-3,-2,
170,0,7,-6,-5,-1,2,6,1,
175,-2,2,-38,2,-3,-4,0,-4,
180,0,5,62,-13,-3,-3,-2,1,
185,-2,-6,-38,15,1,1,3,-4,
190,-2,6,-37,-15,-8,-1,-3,-2,
195,1,23,-5,-6,2,-2,-1,-1,
200,1,-13,12,11,1,-2,-3,1,
205,-3,-5,6,-11,-2,-1,0,0,
210,0,-3,0,-1,-4,2,1,-2,
215,-1,0,-19,-6,-4,-2,-4,-1,
220,1,-1,-21,-4,1,-2,0,-1,
225,1,-4,9,1,-4,0,-2,-1,
230,2,6,11,4,0,-3,0,-3,
235,-3,-11,-27,0,0,0,-3,1,
240,-1,5,-3,-14,1,0,-1,2,
245,-1,-15,-19,10,1,-2,-1,0,
250,-1,1,23,-7,-3,-1,0,-1,
255,-2,-9,-3,-1,-1,-2,-3,2,
260,-5,1,-42,7,2,0,-1,-3,
265,12,7,63,-2,-1,0,1,-8,
270,-4,-2,-6,-1,-2,-2,-2,12,
275,0,2,14,6,0,0,0,-1,
280,0,-5,-32,-5,-1,-2,-2,0,
285,-6,-10,-22,-19,-3,-3,-1,-2,
290,3,1,38,19,-3,-1,-1,-2,
295,1,-4,8,8,2,1,-1,-2,
300,-1,-2,-2,-13,-4,-2,1,-1,
