Timestamp, Rotation x, Rotation y, Rotation z, Marker
10,-0.125,0.0625,-0.125,0
50,-0.125,-0.0625,-0.125,0
70,-0.0625,-0.3125,-0.0625,0
90,-0.0625,-0.1875,0.0625,0
110,-0.0625,-0.1875,-0.0625,0
120,-0.0625,0.1875,0,0
120,-0.125,0.125,-0.0625,0
170,-0.0625,0.0625,-0.0625,0
190,0,-0.125,0.0625,0
210,0.125,-0.375,0.0625,0
230,-63.3125,150.25,-18.125,0
250,-16.125,5.9375,12.0625,0
270,334.062,98.1875,81.1875,0
290,322.5,12.3125,-122.5,0
310,215.625,157.375,-265.25,0
330,52.125,190.875,-211.25,0
350,-170.438,320.062,-235.562,0
370,-74.8125,173.438,-13.6875,0
390,-497.812,14.375,206.438,0
410,-430.938,-108,381.375,0
430,-274.812,-139.938,529.312,0
450,-97.875,-45.375,553.562,0
470,-14.125,2.25,423.312,0
490,-161.062,-61.8125,290.625,0
510,-142.312,-87.9375,278.125,0
530,-130.625,-33.1875,396.812,0
550,-42.6875,11.8125,457.562,0
570,-50.5,23.8125,401.688,0
590,-115.312,9.625,352.125,0
610,-82.5625,2.25,314.375,0
630,-54.25,-8.875,303.625,0
650,-57.875,-20.8125,290.75,0
670,-88.6875,-7.75,284.938,0
690,-189.062,15.75,299.312,0
710,-279.5,-17.25,267.312,0
730,-231.438,-33.375,163.25,0
750,-115.438,-51.8125,143.562,0
770,-181.562,37,181.75,0
790,-374.438,120.688,165.438,0
810,-451.688,79.125,170.25,0
830,-458.875,-39.125,191.938,0
850,-411.562,-0.8125,165.875,0
870,-434.75,-39.5625,63.375,0
890,-390,7.8125,30.3125,0
910,-410.375,8.75,0.9375,0
930,-350.375,66.5,-40.625,0
950,-197.062,164.438,-81.5625,0
970,7.3125,247.938,-88.875,0
990,279.938,366.75,-71.1875,0
1010,445.875,343.25,-52.375,0
1030,415.875,239.812,37.375,0
1040,365.062,192.188,39.125,0
1060,281.375,204.125,9.3125,0
1080,112.438,205.25,-21.875,0
1100,-53,234.125,-37.1875,0
1120,-81.375,281.562,-50.0625,0
1140,-37,244.438,-41.5625,0
1160,48.375,132.938,60.1875,0
1180,132.062,74.5,87.25,0
1200,188.5,103.312,29.75,0
1220,196,119.812,7.875,0
1240,179.875,121.438,23.625,0
1260,200.625,148.938,8.375,0
1280,163.812,132.25,-8.1875,0
1300,146.562,47.875,20.25,0
1320,75.3125,-34.4375,13.125,0
1340,-30.75,-74.125,-15.0625,0
1360,-46.5,-51.5625,-21.6875,0
1380,-60.8125,-31.75,-69.1875,0
1400,-35.75,-45.5625,-85.5625,0
1420,-57.3125,-75.875,-114.75,0
1440,-179.75,-83.75,-138.25,0
1460,-280.125,-102.312,-139.625,0
1480,-320.312,-99.8125,-121.438,0
1500,-289.375,-63.25,-106.625,0
1520,-174.125,-40.1875,-54.25,0
1540,-47.5,-38.3125,14.5625,0
1560,27.4375,-59.875,60.75,0
1580,90.875,-116.375,105.438,0
1600,110.375,-143.688,96.3125,0
1620,81.3125,-155.875,59.4375,0
1640,43.0625,-200.312,62.5625,0
1660,2.75,-198.5,66.125,0
1680,-75.0625,-192.938,55.875,0
1700,-58.9375,-174.312,80.4375,0
1720,-15.125,-106.812,39.3125,0
1740,13.625,-63,7.5625,0
1760,47.375,-58,-4.125,0
1780,68.625,-50.5,-1.125,0
1800,43.5625,-44.875,6.5625,0
1820,-3.8125,-46.75,18.125,0
1840,-48.5,-46.8125,-3.1875,0
1860,21.4375,-34.375,6.9375,0
1880,68.5,-18.25,17.125,0
1900,78.1875,6.625,12.1875,0
1920,71.5625,4.6875,-2,0
1940,82.4375,10.4375,-1.9375,0
1960,64.25,-4.125,17.875,0
1980,30,-8.8125,19.4375,0
2000,-10.875,-18.875,30,0
2020,-27.5,-31.375,34.9375,0
2040,-26.5625,-28.6875,28.8125,0
2060,-21.375,-38.5625,23.5625,0
2080,-39.5625,-48,27.875,0
2100,-48.6875,-48.4375,26.9375,0
2120,-33.9375,-39.25,30.25,0
2140,-41.9375,-15.5625,16.9375,0
2160,-87.5625,-40.75,-23.6875,0
2180,30.9375,21.3125,-36.0625,0
2200,86.4375,10.4375,-36.9375,0
2220,100.562,31.375,14.125,0
2240,52.0625,54.625,21.875,0
2260,-55.5625,59.4375,-42.875,0
2280,-57.5,115.25,-94.125,0
2300,-42.5625,164.875,-57.875,0
2320,28,-45,34.875,0
2340,3.375,-141.25,76.0625,0
2360,-35.125,-111.938,66,0
2380,-105.312,-96,54.875,0
2400,-109.188,-41.375,38.625,0
2420,-70.6875,12.625,-20.75,0
2440,-53.3125,17.1875,-40.9375,0
2460,-55.125,29.5625,-19.1875,0
2480,-52.625,5.75,19.9375,0
2500,-23.25,-2.4375,35.25,0
2520,-1.3125,-1.3125,36.75,0
2540,3.875,-0.125,26,0
2560,-1.375,10.6875,7.125,0
2580,11.9375,16.0625,-4,0
2600,-7.0625,-0.1875,-2.75,0
2620,-10.625,-9.625,4.8125,0
2640,-4.25,-9.8125,9.5625,0
2660,-17.0625,-11.1875,9.6875,0
2680,-11.25,-3.4375,3.1875,0
2700,3.1875,6.6875,-4.125,0
2720,16.625,9.3125,-6.125,0
2740,18.25,2.625,-1.75,0
2760,1.0625,-1.5625,3.8125,0
2780,-12.0625,-0.9375,3.4375,0
2800,-12.1875,-2.375,0,0
2820,4.5625,2.25,-0.1875,0
2840,7.0625,2.4375,4.3125,0
2860,9.3125,2.1875,4.3125,0
2880,7.9375,0.6875,2.1875,0
2900,14.875,2.375,-1.9375,0
2920,11.75,4.1875,-1,0
2940,1.1875,5.5,-1.375,0
2960,-10.875,2.8125,-4.1875,0
2980,-19.3125,-5.25,-6.4375,0
3000,-10.6875,-0.125,-7.3125,0
3020,-1.8125,2.5625,-7.5,0
3040,10.8125,4.875,-5.5,0
3060,10.75,1.625,0.125,0
3080,8.75,1.1875,3.25,0
3100,5.6875,-2.0625,2.9375,0
3120,4.375,-1.0625,-0.6875,0
3140,-0.4375,-2.9375,-4.375,0
3160,-1.9375,0,-6.125,0
3180,-8.9375,-1.75,-2.625,0
3200,-7.5,-1.5625,-2.3125,0
3220,-4.6875,-1.375,-4.125,0
3240,-1.75,-2.4375,-4,0
3260,7.125,-0.375,-4.1875,0
3280,10.125,-0.5,-0.125,0
3300,2.125,-5,4.4375,0
3320,1.375,-5.3125,5.6875,0
3340,2.3125,-5.5,1.4375,0
3360,5.375,-2,-2.375,0
3380,4.6875,-2.5625,-0.125,0
3400,5.8125,-2.125,0.5,0
3420,4.125,-1.4375,1.6875,0
3440,0.5625,-2.125,1.625,0
3460,2.875,-0.5,2.1875,0
3480,1.6875,-1.8125,1.3125,0
3500,3.625,-0.0625,-0.1875,0
3520,3.5625,1.625,-1.0625,0
3540,-2.25,-0.875,-3.5,0
3560,-4.625,-2.875,-1.625,0
3570,0.375,-2.875,-1.6875,0
3590,1.25,-5.3125,-0.1875,0
3610,6.5,-4.0625,-2.8125,0
3630,3.0625,-4.9375,-4.5,0
3650,0.5,-2.625,-5.5625,0
3670,-0.5625,-0.5625,-2.0625,0
3690,1.4375,0.375,1.625,0
3710,5.6875,0.25,3.25,0
3730,7.125,-1.625,2.6875,0
3750,3.125,-0.375,-3.5625,0
3770,-4.75,1.0625,-8.9375,0
3790,-6.1875,2.5,-7.5625,0
3810,-9.375,-3.5,-2.3125,0
3830,-4.5,-3.6875,-1.625,0
3850,0.125,-3.9375,-2.75,0
3870,1.9375,-3.5,-3.4375,0
3890,2.9375,-3.4375,-1.25,0
3910,5.6875,-4.8125,2.125,0
3930,8.75,-3.5625,2.875,0
3950,7.3125,-0.6875,-0.6875,0
3970,-0.9375,0.1875,-5.1875,0
3990,-8.875,1.75,-3.25,0
4010,-9.125,1,2,0
4030,-2.125,-0.8125,2.25,0
4050,4.625,1,-0.0625,0
4070,4.5,1.1875,-2.125,0
4090,2,0.1875,-4.125,0
4110,-3.0625,-1.3125,-4,0
4130,-6.9375,-3.625,-0.0625,0
4150,-2.625,-4.1875,1.8125,0
4170,3.625,-1.4375,1.8125,0
4190,4.9375,-0.875,0.4375,0
4210,1.8125,-1.25,-2.375,0
4230,0.875,-1.25,-4.1875,0
4250,5.75,0.25,-2.4375,0
4270,4.8125,0,2,0
4290,6.125,1.8125,2.4375,0
4310,-3.625,-1.0625,3.5,0
4330,-10.0625,-1.5625,0.5,0
4350,-6.9375,0.625,-2.625,0
4370,-2.375,0,-3.5,0
4390,3.3125,0.9375,-1.8125,0
4410,5.1875,-2.5,-0.875,0
4430,7.875,0.125,-1.8125,0
