Timestamp, Angle x, Angle y, Angle z, Marker
10,-2.4341,0.0411578,1.14544,0
50,-2.4341,0.0411578,1.14544,0
70,-2.4341,0.0411578,1.14544,0
90,-2.4341,0.0411578,1.14544,0
110,-2.4341,0.0411578,1.14544,0
120,-2.43403,0.0410965,1.14545,0
120,-2.43403,0.0410965,1.14545,0
170,-2.43409,0.0410622,1.1456,0
190,-2.43403,0.0410965,1.14545,0
210,-2.4341,0.0411578,1.14544,0
230,-2.45595,-0.00289596,1.11676,0
250,-2.4743,-0.0219946,1.11231,0
270,-2.36029,-0.0287342,1.06843,0
290,-2.24674,-0.0591326,1.09381,0
310,-2.16611,-0.167931,1.1038,0
330,-2.1385,-0.264115,1.08697,0
350,-2.18727,-0.38946,1.03922,0
370,-2.19321,-0.428506,0.988574,0
390,-2.34266,-0.37416,0.933365,0
410,-2.46818,-0.251151,0.856363,0
430,-2.53976,-0.103039,0.735185,0
450,-2.56541,0.0156648,0.583612,0
470,-2.57753,0.091131,0.458885,0
490,-2.64391,0.158586,0.381719,0
510,-2.70847,0.229518,0.307383,0
530,-2.7859,0.294358,0.180086,0
550,-2.85034,0.340678,0.0199098,0
570,-2.91829,0.366799,-0.126482,0
590,-3.00606,0.384488,-0.256827,0
610,-3.07929,0.394273,-0.374682,0
630,3.14132,0.400045,-0.489058,0
650,3.07825,0.403073,-0.599321,0
670,3.00532,0.394648,-0.70706,0
690,2.89834,0.368162,-0.816449,0
710,2.76754,0.343977,-0.91293,0
730,2.66734,0.330708,-0.972862,0
750,2.61235,0.322994,-1.02745,0
770,2.53553,0.277002,-1.07579,0
790,2.40105,0.208092,-1.09499,0
810,2.24075,0.147538,-1.11541,0
830,2.07708,0.0997683,-1.16399,0
850,1.9336,0.0474108,-1.18845,0
870,1.78332,0.0291263,-1.20777,0
890,1.64761,0.0184036,-1.20666,0
910,1.50443,0.0166217,-1.20356,0
930,1.38182,0.0317824,-1.1825,0
950,1.31249,0.0712249,-1.1329,0
970,1.31815,0.122576,-1.05708,0
990,1.43145,0.172883,-0.935662,0
1010,1.61071,0.200828,-0.815094,0
1030,1.77252,0.180344,-0.732037,0
1040,1.91101,0.1502,-0.670144,0
1060,2.0198,0.120128,-0.604827,0
1080,2.06957,0.0942129,-0.537038,0
1100,2.05874,0.066597,-0.458508,0
1120,2.03587,0.0373099,-0.3631,0
1140,2.02521,0.0150012,-0.280202,0
1160,2.04182,-0.0222889,-0.248123,0
1180,2.08729,-0.0609991,-0.239608,0
1200,2.15079,-0.0889893,-0.21411,0
1220,2.21583,-0.114383,-0.181385,0
1240,2.27539,-0.14742,-0.15323,0
1260,2.33996,-0.183541,-0.116322,0
1280,2.39087,-0.212637,-0.081454,0
1300,2.44266,-0.227691,-0.0758895,0
1320,2.48001,-0.216933,-0.0891604,0
1340,2.47829,-0.193978,-0.102532,0
1360,2.4656,-0.178046,-0.108361,0
1380,2.44521,-0.154773,-0.0969916,0
1400,2.43295,-0.122945,-0.0846699,0
1420,2.41266,-0.0771369,-0.0719257,0
1440,2.34987,-0.0226085,-0.0572487,0
1460,2.25258,0.0380703,-0.0512691,0
1480,2.14091,0.0933379,-0.0546836,0
1500,2.03904,0.137784,-0.0555293,0
1520,1.97598,0.163151,-0.0605147,0
1540,1.95033,0.171687,-0.0760313,0
1560,1.94926,0.170262,-0.10474,0
1580,1.97247,0.153481,-0.15697,0
1600,2.00298,0.143805,-0.216895,0
1620,2.02374,0.150052,-0.275511,0
1640,2.02842,0.161467,-0.348607,0
1660,2.0182,0.170115,-0.421778,0
1680,1.98012,0.180504,-0.492115,0
1700,1.94707,0.175794,-0.560124,0
1720,1.93448,0.173828,-0.600626,0
1740,1.93103,0.174675,-0.623245,0
1760,1.9404,0.179682,-0.642622,0
1780,1.95818,0.183513,-0.659604,0
1800,1.96984,0.187293,-0.675454,0
1820,1.97328,0.190045,-0.691647,0
1840,1.95714,0.195828,-0.705845,0
1860,1.96634,0.202362,-0.71739,0
1880,1.99073,0.201709,-0.725329,0
1900,2.02221,0.197625,-0.724128,0
1920,2.04855,0.196749,-0.722204,0
1940,2.08035,0.198639,-0.718103,0
1960,2.10315,0.195424,-0.722253,0
1980,2.1147,0.191295,-0.728113,0
2000,2.11043,0.187518,-0.739005,0
2020,2.09909,0.182762,-0.754713,0
2040,2.08804,0.179112,-0.76857,0
2060,2.07594,0.181434,-0.784832,0
2080,2.06043,0.180894,-0.804201,0
2100,2.04041,0.180864,-0.823718,0
2120,2.02663,0.175448,-0.840787,0
2140,2.0121,0.169845,-0.848121,0
2160,1.97807,0.183431,-0.858181,0
2180,1.98249,0.190238,-0.847613,0
2200,2.01717,0.201839,-0.838279,0
2220,2.05327,0.191867,-0.830594,0
2240,2.0815,0.170789,-0.815901,0
2260,2.06878,0.167175,-0.789715,0
2280,2.05774,0.176162,-0.738047,0
2300,2.05144,0.170742,-0.677153,0
2320,2.05972,0.185089,-0.696565,0
2340,2.04865,0.184923,-0.753816,0
2360,2.02778,0.181917,-0.799991,0
2380,1.98559,0.178232,-0.838773,0
2400,1.94406,0.169235,-0.857595,0
2420,1.9221,0.17174,-0.850547,0
2440,1.90434,0.182575,-0.839962,0
2460,1.88667,0.190131,-0.828099,0
2480,1.86639,0.186761,-0.828676,0
2500,1.85508,0.175892,-0.833382,0
2520,1.85218,0.163269,-0.837754,0
2540,1.85325,0.152278,-0.840383,0
2560,1.85245,0.145929,-0.837605,0
2580,1.85742,0.145236,-0.831678,0
2600,1.85505,0.146316,-0.831489,0
2620,1.84946,0.145815,-0.835441,0
2640,1.84814,0.144025,-0.839478,0
2660,1.84141,0.140986,-0.844307,0
2680,1.83635,0.139512,-0.845846,0
2700,1.83677,0.139676,-0.843323,0
2720,1.84247,0.14136,-0.839752,0
2740,1.84926,0.142186,-0.838616,0
2760,1.8497,0.141003,-0.839519,0
2780,1.84546,0.140248,-0.8401,0
2800,1.83993,0.140824,-0.840958,0
2820,1.84122,0.141285,-0.840339,0
2840,1.84399,0.140085,-0.839968,0
2860,1.84698,0.13845,-0.839628,0
2880,1.84979,0.137054,-0.839566,0
2900,1.85478,0.136582,-0.838522,0
2920,1.86018,0.135882,-0.836849,0
2940,1.8613,0.13489,-0.834852,0
2960,1.85884,0.13618,-0.833371,0
2980,1.85126,0.13897,-0.834529,0
3000,1.84742,0.142161,-0.833939,0
3020,1.84586,0.145704,-0.832507,0
3040,1.84986,0.148739,-0.830311,0
3060,1.85395,0.149529,-0.829793,0
3080,1.85721,0.148589,-0.829563,0
3100,1.85959,0.14714,-0.830484,0
3120,1.86131,0.146729,-0.830805,0
3140,1.86148,0.147652,-0.831272,0
3160,1.86101,0.149336,-0.830591,0
3180,1.85797,0.150373,-0.831026,0
3200,1.85448,0.150982,-0.831366,0
3220,1.8519,0.152623,-0.831494,0
3240,1.85006,0.154187,-0.832118,0
3260,1.85167,0.155916,-0.832025,0
3280,1.85465,0.156457,-0.83219,0
3300,1.85495,0.155655,-0.834383,0
3320,1.855,0.153912,-0.836783,0
3340,1.85507,0.153419,-0.838885,0
3360,1.85682,0.154388,-0.839222,0
3380,1.85835,0.154891,-0.840084,0
3400,1.86069,0.155081,-0.840851,0
3420,1.86234,0.154926,-0.841502,0
3440,1.86258,0.154126,-0.842262,0
3460,1.8639,0.153547,-0.842608,0
3480,1.86448,0.153084,-0.843326,0
3500,1.86619,0.152914,-0.843329,0
3520,1.86762,0.153064,-0.842506,0
3540,1.86696,0.15418,-0.842487,0
3560,1.86499,0.154832,-0.843326,0
3570,1.86454,0.155561,-0.844201,0
3590,1.86446,0.156068,-0.846065,0
3610,1.86667,0.157342,-0.84718,0
3630,1.8679,0.159657,-0.848232,0
3650,1.86822,0.162545,-0.848463,0
3670,1.86828,0.164177,-0.848378,0
3690,1.86887,0.163983,-0.848497,0
3710,1.87132,0.162641,-0.848623,0
3730,1.8738,0.160974,-0.849469,0
3750,1.87546,0.1611,-0.849036,0
3770,1.87374,0.163228,-0.847738,0
3790,1.87168,0.16579,-0.846121,0
3810,1.86752,0.167252,-0.84727,0
3830,1.86513,0.168353,-0.848461,0
3850,1.86423,0.170076,-0.849633,0
3870,1.8645,0.172087,-0.850573,0
3890,1.86506,0.173509,-0.851549,0
3910,1.86686,0.173802,-0.853333,0
