Timestamp, Acceleration x, Acceleration y, Acceleration z
4567,0.121582,0.015625,0.878418,
4590,0.115723,0.0180664,0.889648,
4606,0.126953,0.0166016,0.891113,
4627,0.113281,0.0200195,0.889648,
4652,0.105957,0.0219727,0.885742,
4666,0.12207,0.0205078,0.910156,
4714,0.114258,0.019043,0.888184,
4714,0.114746,0.0209961,0.88623,
4726,0.115234,0.0219727,0.890625,
4747,0.12207,0.015625,0.902832,
4771,0.120117,0.0307617,0.901855,
4788,0.115723,0.0224609,0.902344,
4830,0.12207,0.0234375,0.888184,
4840,0.120117,0.0244141,0.894531,
4846,0.130371,0.0185547,0.880859,
4868,0.123047,0.0185547,0.891602,
4890,0.120605,0.0209961,0.878906,
4905,0.120605,0.0336914,0.891602,
4928,0.109863,0.0263672,0.905273,
4949,0.112793,0.0253906,0.881836,
4964,0.123535,0.0214844,0.901367,
4988,0.105469,0.0249023,0.882324,
5010,0.121582,0.0283203,0.902344,
5026,0.137207,0.027832,0.90918,
5047,0.133301,0.0302734,0.888184,
5070,0.131348,0.0292969,0.914551,
5086,0.128906,0.0229492,0.892578,
5108,0.126465,0.0292969,0.893555,
5130,0.122559,0.0385742,0.878418,
5146,0.113281,0.0185547,0.880859,
5168,0.125977,0.00830078,0.867676,
5190,0.134277,0.0170898,0.86377,
5205,0.11377,-0.00341797,0.871094,
5228,0.183105,0.00927734,0.839844,
5250,0.244629,0.00732422,0.831543,
5267,0.374512,0.00146484,0.890137,
5288,0.475098,0.0112305,0.897461,
5310,0.555664,0.00195313,0.761719,
5325,0.706055,0.00341797,0.681641,
5347,0.67041,0.0141602,0.702148,
5370,0.927246,0.050293,0.588379,
5385,0.911133,-0.0483398,0.697754,
5408,0.813965,-0.078125,0.766602,
5430,0.691406,-0.115723,0.475586,
5445,0.747559,-0.182617,0.405273,
5467,0.8125,-0.225586,0.460938,
5490,0.849121,-0.223633,0.488281,
5506,0.765625,-0.166016,0.494141,
5527,0.439453,-0.229004,0.433594,
5550,0.222168,-0.181641,0.473145,
5566,-0.0078125,-0.171875,0.544434,
5613,0.0991211,-0.228027,0.574707,
5614,0.233887,-0.154297,0.824219,
5651,0.241699,-0.00244141,1.03418,
5652,0.100586,-0.0297852,0.969727,
5679,0.0410156,0.0830078,0.986816,
5694,-0.0410156,0.0166016,1.01514,
5715,0.0883789,-0.00878906,1.09961,
5730,0.0947266,0.15332,1.23242,
5746,0.243164,0.107422,1.16797,
5767,0.28418,0.0117188,0.936523,
5790,0.27002,-0.168945,0.888184,
5820,0.388184,-0.0712891,0.636719,
5829,0.639648,-0.147461,0.464355,
5851,0.673828,-0.285645,0.560547,
5873,0.599121,-0.339355,0.388672,
5888,0.658203,-0.386719,0.221191,
5912,0.711426,-0.419434,0.307129,
5933,0.844727,-0.39209,0.294922,
5948,0.800781,-0.440918,0.233887,
5971,0.772949,-0.460938,0.257813,
5993,0.803711,-0.417969,0.239258,
6009,0.90625,-0.475586,0.275391,
6031,0.94873,-0.401855,0.23877,
6053,0.880859,-0.416992,0.210938,
6069,0.678223,-0.485352,0.166992,
