Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8
117852,17,33,31,23,13,-16,-18,-1,
117852,15,19,9,9,0,-15,-16,-2,
117858,-16,-20,-18,-14,-6,10,13,1,
117858,-11,-20,-15,-15,-5,11,7,2,
117859,3,11,14,9,11,-8,-14,-3,
117859,5,16,16,9,7,-7,-7,-1,
117860,-8,-8,-8,-10,-11,3,2,-1,
117860,-17,-20,-19,-11,-3,11,15,-6,
117871,8,18,16,13,10,-4,-9,-4,
117871,8,9,11,8,10,-7,-9,-1,
117879,-6,-12,-15,-3,1,3,8,1,
117879,-13,-18,-20,-10,-11,9,13,1,
117885,8,14,13,6,4,-6,-13,0,
117885,6,12,10,13,6,-7,-13,1,
117900,-13,-14,-15,-10,-5,9,5,-2,
117900,-12,-12,-11,-6,-13,2,7,1,
117910,12,19,14,14,7,-15,-8,-1,
117910,6,4,7,-2,0,1,1,-1,
117917,-9,-11,-10,-7,-8,2,8,-4,
117917,-6,-10,-8,-4,-5,4,7,3,
117931,1,5,7,1,0,-3,-8,-3,
117931,2,0,1,1,-3,0,2,1,
117938,-7,-6,-2,-4,-2,4,2,0,
117938,0,-8,-4,-8,-5,5,-1,5,
117978,19,35,33,26,13,-16,-21,-8,
117978,4,6,5,4,3,-2,-7,-4,
117979,-14,-21,-25,-17,-9,5,14,2,
117979,-15,-17,-18,-13,-9,5,10,-4,
117980,10,16,12,16,15,-10,-21,-1,
117980,4,5,7,3,0,-8,-7,-2,
117983,-10,-12,-10,-9,-5,6,6,-1,
117983,-10,-13,-16,-11,-12,7,10,-2,
117991,17,21,15,9,1,-10,-9,-4,
117991,7,9,7,3,-2,-8,-10,-2,
117998,-12,-16,-14,-10,-8,2,8,-3,
117998,-15,-17,-15,-6,-4,7,10,0,
118005,11,15,12,5,-1,-8,-11,-3,
118005,4,5,6,1,-2,-9,-11,-5,
118021,-11,-14,-12,-12,-12,2,7,-1,
118021,-7,-9,-9,-8,-8,4,7,-1,
118028,6,10,15,10,6,-6,-12,-1,
118028,0,7,5,3,-1,-5,0,-3,
118037,-9,-12,-12,-10,-9,-1,-2,1,
118037,-2,-12,-7,-4,-7,3,4,1,
118051,3,3,8,-1,3,-3,-6,2,
118051,6,3,-4,2,9,1,0,-2,
118057,-3,-5,-4,-2,-4,4,0,-1,
118057,-8,-4,-6,-7,-8,1,0,0,
118065,-4,3,3,1,3,-5,-5,-7,
118065,1,-2,10,-3,-5,-2,-7,1,
118081,4,0,0,-1,1,-1,0,-1,
118081,1,-3,-5,2,5,6,0,3,
118088,-1,6,3,1,5,-3,0,-1,
118088,-1,1,-3,0,1,0,-3,-3,
118097,-2,-4,-7,-8,-3,-1,-1,-6,
118097,-3,0,-4,-7,5,-1,-4,-2,
118111,5,5,0,2,-2,-3,-9,3,
118111,1,3,0,6,5,-1,0,-7,
118117,-1,-2,-1,-9,-7,2,4,0,
118117,-7,-3,-1,0,4,2,3,-3,
118125,4,-3,0,1,2,3,2,-2,
118125,-2,3,3,-3,-4,-6,0,0,
118141,0,-2,-7,1,-2,1,0,-4,
118141,0,2,-4,-5,2,-1,2,-2,
118148,0,0,1,-2,1,-5,-4,-1,
118148,1,1,1,0,1,0,0,-3,
118157,-3,-3,-5,-4,-8,7,1,-2,
118157,5,-4,4,-2,-6,-5,-3,2,
118171,-5,0,-2,-3,-3,-1,-1,-3,
118171,-1,-1,-2,-2,2,-6,-6,-1,
118177,-6,-5,-4,-1,-2,2,5,4,
118177,-2,-2,1,-1,-3,-1,-2,-5,
