Timestamp, Rotation x, Rotation y, Rotation z
117714,-0.5,0,0.25,
117735,-0.125,-0.25,0,
117750,0.9375,-0.125,0.125,
117774,0.625,-0.1875,0,
117795,1.5,-0.1875,-0.0625,
117811,1.125,-0.0625,0,
117850,1.3125,-0.125,-0.25,
117859,0.875,-0.0625,0,
117872,0.5625,-0.125,0.0625,
117895,0.125,-0.1875,0.0625,
117916,-0.5625,-0.125,0,
117931,-0.6875,-0.0625,-0.125,
117968,-1.3125,-0.0625,0,
117979,-1.1875,-0.0625,-0.0625,
117992,-1.3125,-0.0625,-0.125,
118013,-1.0625,-0.1875,-0.1875,
118036,-0.8125,0,0.0625,
118051,-0.25,-0.1875,-0.125,
118072,0.1875,0,0.1875,
118096,0.375,-0.1875,-0.125,
118111,0.9375,0.0625,0.0625,
118133,1,-0.125,-0.125,
118156,1.1875,-0.0625,-0.0625,
118172,0.8125,0,0,
118193,0.75,-0.125,0,
118215,0.25,-0.0625,0.0625,
118232,-0.1875,-0.125,0,
118253,-0.5625,0,0.0625,
118275,-0.875,0,-0.1875,
118291,-0.9375,0,0.0625,
118313,-1.375,-0.0625,-0.0625,
118335,-0.6875,0.0625,-0.0625,
118352,-0.9375,0,0,
118373,-0.4375,-0.125,0,
118395,-0.25,0.0625,0.0625,
118411,0.3125,-0.125,-0.125,
118433,0.625,-0.0625,0.0625,
118455,0.875,-0.125,-0.0625,
118471,1,-0.0625,-0.0625,
118493,0.6875,0.0625,-0.0625,
118515,0.875,-0.0625,0,
118531,0.5,-0.0625,0,
118553,0.25,-0.25,0,
118575,-0.1875,-0.0625,0.0625,
118592,-0.5625,0,-0.0625,
118614,-0.6875,0.0625,0.0625,
118635,-0.8125,-0.0625,-0.1875,
118652,-1,0,0,
118674,-1.0625,-0.125,0.0625,
118695,-0.375,0,0,
118711,-0.5,-0.1875,-0.0625,
118734,0,0.0625,0,
118755,0.1875,-0.0625,-0.0625,
118771,0.625,-0.0625,0,
118794,0.5625,-0.0625,-0.0625,
118815,1.125,0,0,
118832,0.6875,-0.0625,0,
118854,0.5,-0.0625,0,
118875,0.5,-0.1875,0.0625,
118891,-0.25,-0.125,0,
118914,-0.125,-0.0625,0,
118935,-0.5,0,-0.0625,
118951,-0.6875,0,-0.0625,
118974,-0.8125,-0.0625,0,
118995,-0.6875,-0.0625,-0.125,
119011,-0.8125,-0.0625,0.0625,
119034,-0.375,-0.1875,-0.0625,
119055,-0.3125,0.0625,0,
119071,0.0625,-0.1875,-0.125,
119094,0.5625,0,0,
119115,0.375,-0.0625,-0.0625,
119131,0.75,0,-0.125,
119154,0.5,-0.125,0.0625,
119175,0.375,0,0.0625,
119192,0.375,-0.0625,-0.0625,
119214,0.125,-0.0625,0,
119235,-0.3125,-0.25,0,
119251,-0.125,0.0625,0,
119273,-0.375,-0.0625,-0.0625,
119296,-1,-0.0625,0.0625,
119311,-0.6875,0.0625,0,
119334,-0.5625,-0.125,0,
119356,-0.75,-0.125,-0.125,
119371,-0.3125,-0.0625,-0.0625,
119394,0,-0.125,-0.0625,
119416,0,0.0625,-0.0625,
119431,0.3125,-0.0625,-0.0625,
119453,0.375,-0.0625,0,
119476,0.3125,-0.125,-0.0625,
119491,0.5625,-0.0625,0.0625,
119513,0.375,0,0,
119536,0.125,-0.0625,0,
119551,0.0625,0,-0.0625,
119573,-0.1875,-0.125,-0.0625,
119596,-0.5,-0.0625,-0.0625,
119611,-0.5,-0.0625,0,
119634,-0.5,-0.1875,0.0625,
119656,-0.75,0,0,
119672,-0.6875,0,0,
119694,-0.3125,0,-0.0625,
119709,-0.25,0,-0.1875,
119732,0,-0.125,-0.0625,
