Timestamp, Acceleration x, Acceleration y, Acceleration z, Marker
30,0.405762,0.344727,0.726074,0
50,0.400879,0.353516,0.718262,0
70,0.402832,0.347656,0.734863,0
90,0.40332,0.34668,0.739746,0
110,0.405762,0.334961,0.728516,0
120,0.408203,0.339844,0.735352,0
140,0.408691,0.334473,0.735352,0
170,0.40625,0.336426,0.737305,0
190,0.398438,0.333984,0.720215,0
210,0.402344,0.341309,0.723633,0
230,0.395508,0.350586,0.718262,0
250,0.396973,0.345703,0.727539,0
270,0.404785,0.346191,0.720215,0
290,0.404785,0.352051,0.717285,0
310,0.404785,0.335449,0.72998,0
330,0.40625,0.335449,0.733398,0
350,0.402344,0.335938,0.728516,0
370,0.401855,0.338379,0.723633,0
390,0.401855,0.348633,0.730957,0
410,0.402832,0.342285,0.729492,0
430,0.402344,0.336914,0.730957,0
450,0.403809,0.336914,0.724609,0
470,0.399414,0.351074,0.723633,0
490,0.399414,0.349609,0.728516,0
510,0.401367,0.348145,0.733887,0
530,0.402832,0.345215,0.737305,0
550,0.398926,0.351562,0.736816,0
570,0.394043,0.349609,0.742188,0
590,0.398438,0.354492,0.73877,0
610,0.398926,0.337402,0.737305,0
630,0.399414,0.343262,0.733398,0
650,0.399414,0.326172,0.730469,0
670,0.396973,0.328125,0.728516,0
690,0.397949,0.344727,0.719727,0
710,0.398926,0.339844,0.723633,0
730,0.400391,0.344727,0.724121,0
750,0.397949,0.349609,0.728027,0
770,0.398926,0.342285,0.726074,0
790,0.40332,0.338379,0.733887,0
810,0.407227,0.341309,0.738281,0
830,0.40625,0.343262,0.741699,0
850,0.406738,0.339355,0.74707,0
870,0.404297,0.339844,0.750488,0
890,0.410156,0.335938,0.747559,0
910,0.40332,0.340332,0.73584,0
930,0.404297,0.347656,0.724609,0
950,0.405273,0.338379,0.72168,0
970,0.398438,0.339844,0.721191,0
990,0.398438,0.334473,0.720215,0
1010,0.401367,0.333984,0.716797,0
1030,0.401855,0.338379,0.729004,0
1050,0.400879,0.338379,0.732422,0
1070,0.402344,0.339355,0.740723,0
1090,0.397949,0.339355,0.730957,0
1110,0.405273,0.333008,0.73877,0
1130,0.402344,0.329102,0.726562,0
1150,0.402344,0.333008,0.719238,0
1170,0.400391,0.336426,0.723633,0
1190,0.398926,0.343262,0.722168,0
1210,0.411621,0.331055,0.669434,0
1230,0.577148,0.175781,1.35059,0
1250,0.317383,0.425293,-0.169922,0
1270,-0.0581055,0.309082,0.529297,0
1290,-0.0136719,0.32959,0.359863,0
1310,0.26709,0.407715,0.09375,0
1330,0.606934,0.5,-0.00585938,0
1350,0.925293,0.544922,0.122559,0
1370,1.09912,0.504395,0.47168,0
1390,0.973145,0.40625,0.915039,0
1410,0.643066,0.285156,1.27783,0
1430,0.227539,0.188477,1.46045,0
1440,-0.141602,0.147461,1.35889,0
1460,-0.324707,0.176758,1.00684,0
1480,-0.230957,0.25293,0.577637,0
1500,0.109863,0.370605,0.196289,0
1520,0.54541,0.477051,0.015625,0
1540,0.937012,0.534668,0.0991211,0
1560,1.12402,0.521973,0.433105,0
1580,0.999512,0.421387,0.881348,0
1600,0.649414,0.305176,1.28662,0
1620,0.202637,0.198242,1.44873,0
1640,-0.176758,0.14502,1.32959,0
1660,-0.331543,0.172852,0.939941,0
1680,-0.148438,0.280273,0.450195,0
1700,0.276367,0.399902,0.102539,0
1720,0.757812,0.516113,0.0541992,0
1740,1.05664,0.522949,0.286621,0
1760,1.07715,0.464844,0.727051,0
1780,0.777344,0.337402,1.17725,0
1800,0.307617,0.205566,1.43799,0
1820,-0.102539,0.143066,1.36035,0
1840,-0.275391,0.157715,0.949219,0
1860,-0.128418,0.268555,0.431152,0
1880,0.350586,0.425781,0.0844727,0
1900,0.848145,0.527832,0.100098,0
1920,1.07471,0.521484,0.466797,0
1940,0.911133,0.401367,0.993652,0
1960,0.468262,0.24707,1.37646,0
1980,-0.0131836,0.160156,1.41113,0
2000,-0.29541,0.155762,1.09961,0
2020,-0.208496,0.226074,0.621582,0
2040,0.191895,0.373535,0.17334,0
2060,0.718262,0.501465,0.0756836,0
2080,1.05176,0.515625,0.377441,0
2100,0.95459,0.416016,0.904297,0
2120,0.553711,0.269531,1.32129,0
2140,0.0732422,0.15625,1.41797,0
2160,-0.237305,0.160645,1.12646,0
2180,-0.209473,0.246094,0.630859,0
2200,0.127441,0.370605,0.221191,0
2220,0.629883,0.496582,0.0585938,0
2240,1.00879,0.532227,0.304688,0
2260,0.995117,0.437988,0.817383,0
2280,0.610352,0.281738,1.29785,0
2300,0.126465,0.162598,1.43066,0
2320,-0.202637,0.145508,1.18018,0
2340,-0.203613,0.215332,0.695801,0
2360,0.11084,0.353027,0.241699,0
2380,0.592773,0.489258,0.0561523,0
2400,0.994141,0.523438,0.277344,0
2420,0.985352,0.433105,0.754395,0
2440,0.513184,0.208008,0.700684,0
2460,0.35791,0.351074,0.726562,0
2480,0.404785,0.324707,0.739746,0
2500,0.404785,0.318359,0.727051,0
2520,0.400391,0.335449,0.742188,0
2540,0.396973,0.343262,0.734863,0
2560,0.401855,0.329102,0.736328,0
2580,0.401855,0.330566,0.726074,0
2600,0.402344,0.33252,0.733887,0
2620,0.396973,0.339355,0.735352,0
2640,0.397461,0.337891,0.72998,0
2660,0.397949,0.339355,0.73877,0
2680,0.400391,0.339355,0.741211,0
2700,0.398926,0.339355,0.736816,0
2720,0.401367,0.336426,0.739258,0
2740,0.401367,0.339355,0.738281,0
2760,0.405273,0.330566,0.741211,0
2780,0.405273,0.330078,0.731934,0
2800,0.405273,0.316895,0.736328,0
2820,0.402832,0.323242,0.740234,0
2840,0.396484,0.333008,0.735352,0
2860,0.398926,0.335938,0.739746,0
2880,0.394531,0.342285,0.738281,0
2900,0.397949,0.345703,0.730957,0
2920,0.399414,0.347656,0.725098,0
2940,0.402344,0.345215,0.729492,0
2960,0.404785,0.34082,0.726074,0
2980,0.399902,0.332031,0.734375,0
3000,0.401367,0.323242,0.739746,0
3020,0.402832,0.320312,0.73584,0
3040,0.395508,0.317871,0.72168,0
3060,0.401855,0.330566,0.728516,0
3080,0.399902,0.314941,0.720215,0
3100,0.396484,0.330566,0.733398,0
3120,0.338379,0.297852,0.779297,0
3140,0.399902,0.354004,0.742188,0
3160,0.39209,0.346191,0.73877,0
3180,0.406738,0.35498,0.745117,0
3200,0.387695,0.356445,0.75,0
3220,0.271973,0.276855,0.839844,0
3240,0.461426,0.311035,0.77002,0
3260,0.386719,0.276855,0.75,0
3280,0.3125,0.216309,0.843262,0
3300,0.235352,0.11377,0.882324,0
3320,0.32666,0.349609,0.645508,0
3340,0.541504,0.558594,0.331055,0
3360,0.91748,1.01172,0.248047,0
3380,0.820801,0.109375,0.612793,0
3400,0.581055,0.187988,0.341309,0
3420,0.634277,0.220215,0.503906,0
3440,0.733398,0.362305,0.412109,0
3460,0.383301,0.981934,0.129883,0
3480,0.275391,1.04199,0.123535,0
3500,0.39502,0.854004,0.122559,0
