Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8
0,0,-7,23,-4,-4,-2,-3,0,
5,-4,7,21,-13,-6,-2,-3,-3,
10,-6,-15,-9,1,1,0,0,6,
15,7,11,-9,12,-6,-1,-4,1,
20,-9,1,7,20,12,1,4,-9,
25,30,7,30,-1,-4,1,-8,17,
30,-14,-7,8,-4,-1,-1,2,-9,
35,8,-11,-24,-4,2,0,3,-2,
40,-7,-8,22,-4,-6,-1,-2,-3,
45,-11,-7,22,-7,-12,-5,2,-9,
50,5,16,4,10,9,-1,-1,-6,
55,-10,-17,-24,-4,-2,-1,-2,2,
60,2,5,12,-15,-10,-9,-3,2,
65,1,1,30,5,7,4,2,-7,
70,-3,6,-6,0,6,2,2,0,
75,-2,6,-23,11,2,-3,-9,2,
80,1,1,4,-10,-4,0,6,1,
85,-19,-10,8,-12,-10,-4,-4,-2,
90,23,19,4,10,-3,6,5,2,
95,-3,-3,-12,4,11,-10,-5,15,
100,4,-6,-6,-3,4,1,-3,-8,
105,-21,-7,-17,3,-3,-2,0,-6,
110,15,16,14,12,4,1,12,2,
115,-24,-18,34,-28,-3,-2,-2,-5,
120,3,-5,-16,58,23,5,1,-3,
125,3,8,-32,-28,-34,-12,-15,4,
130,-13,-12,-6,6,20,14,19,-6,
135,5,15,14,-2,-3,-1,2,-1,
140,8,2,7,-17,-9,-4,-2,-3,
145,3,-4,-23,-4,6,1,-4,-1,
150,-4,5,10,9,-4,-7,-6,1,
155,-12,-2,5,12,3,-1,-15,-2,
160,-1,-6,-8,-9,0,-3,-2,2,
165,-3,-8,-14,20,9,3,3,1,
170,13,-5,-11,-18,-21,-7,-5,0,
175,-4,-4,23,26,12,3,1,-2,
180,-10,3,-31,-10,-11,-1,-4,0,
185,3,0,-9,-11,3,0,1,1,
190,-9,1,12,-17,-9,-5,-10,-8,
195,3,-8,5,-6,-1,0,2,10,
200,-1,-6,-14,4,-2,0,1,-4,
205,6,17,-10,10,12,2,3,-2,
210,11,0,-1,-17,-11,-6,-9,-2,
215,-1,4,-22,28,4,-2,9,-5,
220,-18,-15,9,-42,-21,-3,-4,1,
225,5,10,-8,15,5,3,11,0,
230,-3,-14,4,-14,-3,-6,-13,-2,
235,-3,-7,-14,3,5,-2,0,-7,
240,6,15,-18,1,-1,3,-4,14,
245,-4,-5,6,-3,-5,-3,-1,-5,
250,10,9,0,12,4,1,-7,3,
255,-13,-14,-8,-18,-15,-10,-1,-5,
260,-4,-16,5,-14,14,-1,-2,-9,
265,2,8,-16,-16,-16,-7,-5,1,
270,-5,-12,-12,9,2,5,5,5,
275,2,0,-12,-2,-4,-1,-2,-9,
280,6,3,16,-15,-7,-7,-5,-3,
285,-7,-7,6,-3,0,1,17,0,
290,-10,-7,7,32,13,2,-3,-5,
295,3,0,-10,-45,-38,-2,3,0,
300,6,9,-24,51,33,11,0,-4,
305,16,11,-6,33,7,6,5,3,
310,2,9,-13,-12,-5,-6,-20,0,
315,-17,-17,4,13,6,4,25,-3,
320,8,9,18,-12,-10,-7,-3,1,
325,-18,-21,9,-2,0,0,3,0,
330,0,-8,-2,-5,-2,0,9,-5,
335,7,11,4,2,9,4,-12,3,
340,-12,0,9,-32,-27,-8,4,-1,
345,-6,-14,3,6,18,2,-5,-3,
350,11,12,17,19,-6,-1,7,1,
355,7,7,-24,4,11,0,-5,13,
360,-7,-15,-2,22,11,3,-4,-11,
365,-10,-2,10,-32,-20,-2,4,17,
370,-2,10,-4,-20,9,6,0,-8,
375,6,3,-9,-5,-12,-4,-9,-1,
380,-3,-18,6,13,5,-1,-6,-2,
385,-21,0,-4,-19,-3,-3,-7,-5,
390,10,0,18,-10,-4,-7,-1,5,
395,15,19,-9,14,6,4,15,3,
400,-12,-7,-14,-9,-4,-2,5,-1,
405,4,-5,7,8,1,-5,-9,-12,
410,-10,-9,-2,-10,-17,-8,-2,1,
415,9,-2,5,-6,11,6,0,-6,
420,11,18,-2,0,-6,0,1,11,
