Timestamp, Angle x, Angle y, Angle z
40,-1.22316,0.120227,1.47286,
60,-1.2209,0.122925,1.47493,
80,-1.21853,0.125634,1.47677,
100,-1.21721,0.129137,1.47848,
110,-1.21724,0.132573,1.47954,
110,-1.2166,0.136277,1.48092,
150,-1.2154,0.139923,1.48228,
170,-1.2137,0.143285,1.48349,
190,-1.21173,0.14613,1.48489,
210,-1.21005,0.14891,1.48565,
230,-1.20831,0.151433,1.4862,
250,-1.20608,0.154492,1.48715,
270,-1.20436,0.157168,1.48802,
290,-1.20385,0.158872,1.48833,
310,-1.20235,0.160552,1.48914,
330,-1.2013,0.16166,1.49016,
350,-1.20005,0.162376,1.49173,
370,-1.19857,0.162157,1.49358,
390,-1.197,0.161965,1.49534,
410,-1.19585,0.162547,1.49686,
430,-1.19566,0.163167,1.49826,
450,-1.19656,0.164029,1.49932,
470,-1.19754,0.165325,1.50012,
490,-1.19921,0.166791,1.50057,
510,-1.20152,0.167983,1.50052,
530,-1.20269,0.168264,1.50079,
550,-1.2033,0.167823,1.50107,
570,-1.20354,0.166983,1.50129,
590,-1.20302,0.166375,1.50161,
610,-1.20323,0.165675,1.50197,
630,-1.20386,0.165106,1.50249,
650,-1.20399,0.164689,1.50321,
670,-1.20329,0.164618,1.50372,
690,-1.2028,0.16469,1.50446,
710,-1.20223,0.164692,1.50497,
730,-1.20223,0.164692,1.50497,
750,-1.20095,0.165026,1.5055,
770,-1.20084,0.165096,1.50541,
790,-1.20082,0.165138,1.50541,
810,-1.19977,0.165125,1.50544,
830,-1.19876,0.165441,1.50529,
850,-1.19889,0.165515,1.5053,
870,-1.19816,0.165858,1.5057,
890,-1.19788,0.166368,1.50566,
910,-1.19715,0.166612,1.50592,
930,-1.19589,0.166935,1.50607,
950,-1.19473,0.166905,1.50626,
970,-1.19346,0.167042,1.5065,
990,-1.19268,0.167183,1.50684,
1010,-1.19184,0.167409,1.50725,
1030,-1.19129,0.167496,1.50753,
1050,-1.19056,0.16774,1.5078,
1070,-1.19,0.167642,1.50816,
1090,-1.18909,0.167521,1.50859,
1110,-1.18911,0.16748,1.5086,
1130,-1.18911,0.16748,1.5086,
1150,-1.18864,0.167255,1.5089,
1170,-1.18863,0.167199,1.50874,
1190,-1.18864,0.167255,1.5089,
1210,-1.18863,0.167199,1.50874,
1230,-1.18863,0.167199,1.50874,
1250,-1.18917,0.167209,1.50861,
1270,-1.18981,0.16719,1.50856,
1290,-1.18981,0.16719,1.50856,
1310,-1.19042,0.166831,1.5083,
1330,-1.1904,0.166872,1.5083,
1350,-1.19053,0.166761,1.50839,
1370,-1.19053,0.166761,1.50839,
1390,-1.19114,0.166499,1.50827,
1410,-1.19114,0.166499,1.50827,
1430,-1.19112,0.166541,1.50827,
1450,-1.19125,0.166615,1.50827,
1470,-1.19135,0.166544,1.50836,
1490,-1.19135,0.166544,1.50836,
1510,-1.19133,0.166488,1.5082,
1530,-1.19135,0.166544,1.50836,
1550,-1.19133,0.166488,1.5082,
1570,-1.19147,0.166562,1.50821,
1590,-1.19147,0.166562,1.50821,
1610,-1.19147,0.166562,1.50821,
1630,-1.19133,0.166488,1.5082,
1650,-1.19133,0.166488,1.5082,
1670,-1.19147,0.166562,1.50821,
1690,-1.19157,0.166492,1.50829,
1710,-1.19155,0.166435,1.50814,
1730,-1.19157,0.166492,1.50829,
1750,-1.19155,0.166435,1.50814,
1770,-1.19157,0.166492,1.50829,
1790,-1.19135,0.166544,1.50836,
1810,-1.19092,0.166552,1.50834,
1830,-1.19092,0.166552,1.50834,
1850,-1.19092,0.166552,1.50834,
1870,-1.1905,0.166519,1.50832,
1890,-1.18943,0.166643,1.5085,
1910,-1.18913,0.166725,1.50848,
