Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
0,5,2,-3,1,-1,6,-3,-11,0
5,-20,1,-2,1,4,16,2,2,0
10,7,-1,0,3,-3,-2,3,-10,0
15,10,1,-6,-7,1,-2,5,-10,0
20,4,-12,1,1,-1,9,-17,1,0
25,14,-3,-1,-7,6,-3,-1,-10,0
30,-4,-20,-8,-8,-3,-1,-3,-6,0
35,-2,-4,-7,-6,-11,8,-14,16,0
40,0,6,1,-7,4,15,14,3,0
45,-1,32,-2,-10,0,29,-13,1,0
50,1,14,2,-10,3,10,26,6,0
55,-1,22,-1,-2,-10,-9,9,9,0
60,0,-2,-7,0,-11,18,-30,14,0
65,0,-14,2,-14,-5,-15,3,26,0
70,4,-8,-5,12,-6,-13,-13,32,0
75,15,-28,14,4,-11,7,-14,76,0
80,12,-23,-2,5,-2,-15,-12,114,0
85,75,54,44,35,40,56,65,-19,0
90,-79,-87,-28,-8,-21,-39,-88,-91,0
95,12,-56,-21,2,-11,-45,-25,-68,0
100,-118,-3,0,10,-7,-4,-17,-22,0
105,-115,17,-5,11,-8,-7,18,124,0
110,-103,59,9,-7,2,2,33,118,0
115,-69,11,-5,-15,-8,-11,5,37,0
120,-5,1,1,1,12,-10,-2,-18,0
125,16,-10,11,20,17,3,-5,10,0
130,46,-11,0,1,13,48,-29,70,0
135,55,-15,-4,1,3,33,-35,120,0
140,55,-27,0,-15,-33,58,8,127,0
145,39,43,-9,-30,23,-4,27,59,0
150,32,40,-16,34,15,-33,35,51,0
155,22,-15,-4,-18,0,4,-6,104,0
160,10,-29,4,10,0,-16,-9,104,0
165,14,-15,18,-14,-15,11,-15,29,0
170,8,-10,2,-6,-11,22,-3,15,0
175,-2,23,-3,4,14,-5,4,35,0
180,-2,6,2,-7,-4,-19,3,-30,0
185,-9,-18,0,3,-2,-2,-6,-61,0
190,-9,-7,0,-1,-2,-12,6,-53,0
195,-3,8,-7,0,-10,0,14,-22,0
200,4,22,-3,-1,-1,8,2,-53,0
205,-11,16,0,3,-1,14,-1,-76,0
210,-9,0,1,-20,-5,3,-2,-58,0
215,-18,-3,-3,-7,-7,-5,9,-32,0
220,-1,15,-3,-4,12,5,6,-34,0
225,1,6,0,9,2,0,12,-55,0
230,-1,-1,6,1,-6,2,-2,14,0
235,5,-1,-3,-13,-2,-2,-2,38,0
240,6,16,-3,-7,16,12,-11,-2,0
245,-4,1,-4,2,0,12,-22,10,0
250,0,-12,-7,-11,-2,-12,14,-15,0
255,-46,-11,-8,0,-9,-30,-11,-37,0
260,-113,-20,-4,17,1,-22,16,-9,0
265,-126,-20,1,13,-1,-25,10,38,0
270,-128,0,-2,13,-4,-5,-7,108,0
275,-27,-14,1,-4,-14,2,-9,80,0
280,47,16,0,12,7,-18,-10,75,0
285,88,0,-3,-11,-11,20,-14,-12,0
290,108,20,-2,-20,-4,17,-33,-19,0
295,81,-3,1,-19,2,-2,18,-89,0
300,72,-3,-3,-2,3,18,-43,-58,0
305,72,-14,-7,-19,2,-21,-9,5,0
310,56,-35,-8,-13,1,-41,10,57,0
315,38,-2,7,38,-1,-10,67,94,0
320,34,-11,3,13,-1,-14,66,76,0
325,30,25,-6,17,-10,-3,71,45,0
330,20,-17,-13,-33,-5,15,-66,50,0
335,14,-14,-8,8,-3,27,-120,35,0
340,17,-27,9,-2,0,26,-128,2,0
345,8,13,5,-17,0,16,-52,-14,0
350,7,54,11,-23,0,-3,21,-89,0
355,6,41,-13,-9,3,-2,33,-128,0
360,2,-7,-19,10,1,2,26,-128,0
365,2,-41,-1,12,2,-1,9,-74,0
370,3,-36,-4,15,-1,1,9,-56,0
375,2,-13,8,-13,-6,-5,6,-1,0
380,-1,23,-1,-11,-8,-4,-5,42,0
385,1,-8,-6,-21,-17,-14,-30,75,0
390,18,-3,1,4,-3,-8,-9,90,0
395,50,19,4,10,6,-13,-17,31,0
400,1,13,-1,-7,-3,-11,-8,2,0
405,-16,26,2,12,9,3,-37,-59,0
410,43,-3,1,3,-1,-8,-15,-55,0
415,89,-21,-4,-5,5,-7,-46,-26,0
420,21,-11,3,4,-1,4,-15,-17,0
425,19,-45,-7,0,4,4,55,-34,0
430,-7,-8,-4,0,-8,4,50,22,0
435,38,14,-6,-6,4,-7,61,25,0
440,-38,33,-1,-12,0,-2,81,16,0
445,-12,42,-1,-9,0,-2,69,54,0
450,-95,18,-3,-4,0,2,38,-114,0
455,-102,16,1,-1,-8,7,-2,-117,0
460,-31,4,-5,4,1,2,16,-97,0
465,-16,-2,-3,9,-8,-2,92,113,0
470,44,-5,-4,9,-6,5,108,74,0
475,71,-19,1,-5,-6,-2,127,44,0
480,79,-12,0,-9,4,0,81,-58,0
485,-36,-12,4,5,-2,10,32,-121,0
490,-12,-6,8,6,7,14,-11,-46,0
495,-74,-14,0,-1,0,12,-85,-69,0
500,10,-27,-2,-3,5,0,-94,-44,0
505,45,-71,0,-6,4,-1,-105,1,0
510,-3,-117,-2,-8,-1,-13,-116,18,0
515,-18,-128,2,-4,3,-13,-69,12,0
520,13,-93,2,-1,-4,-8,0,23,0
525,9,-51,-6,-3,-6,-14,43,31,0
530,19,-3,-1,7,-1,-11,-4,15,0
535,69,31,-3,2,5,-1,-15,72,0
540,24,65,-8,-15,-8,-15,-23,32,0
545,65,89,-1,-4,1,-7,-69,-37,0
550,76,91,-6,-5,2,-10,-53,-23,0
555,54,79,1,-1,-1,6,-45,-3,0
560,2,68,2,1,5,4,-20,-22,0
565,-36,75,-1,1,0,3,4,-44,0
570,-9,68,0,-2,-5,-3,26,-33,0
575,-15,62,-5,1,-3,-9,29,-4,0
580,-21,46,-2,1,-8,-1,9,32,0
585,-25,37,-1,2,-6,4,-3,55,0
590,-3,30,-1,-1,-5,5,-4,57,0
595,22,3,-2,-3,-7,5,45,45,0
600,-50,-41,-2,-2,-3,3,85,50,0
605,45,-44,0,1,0,6,19,-46,0
610,97,-35,4,0,2,9,-15,-9,0
615,99,-24,0,-6,-7,-4,-66,34,0
620,127,-95,-6,-2,4,9,-15,127,0
625,-21,-105,-4,2,5,-2,-46,127,0
630,2,-43,-3,4,5,-3,-28,-111,0
635,54,3,-1,-1,2,-1,-86,-128,0
640,-54,54,1,-8,-2,-11,-62,-128,0
645,-87,119,-2,3,3,-13,30,-65,0
650,-128,114,-5,-6,-6,-8,42,28,0
655,-128,125,4,0,0,3,73,32,0
660,-120,122,2,4,-1,5,91,40,0
665,-58,8,-2,-2,1,3,-105,81,0
670,94,-60,-2,-18,-5,0,-6,85,0
675,97,-70,0,1,1,3,-106,44,0
680,105,-98,-4,1,-3,7,-128,78,0
685,-47,-58,0,15,21,14,-27,51,0
690,-70,-66,-1,5,3,-14,-128,52,0
695,-128,-66,0,-3,-1,-10,-61,21,0
700,-117,-42,-4,1,0,-1,80,26,0
705,-74,-16,-2,2,2,-5,38,20,0
710,-83,-13,-3,-23,-28,-12,-73,17,0
715,-17,-22,-4,-20,-18,-20,4,-7,0
720,22,-12,3,1,-2,-10,41,-4,0
725,82,-15,-4,5,0,2,104,4,0
730,33,-11,2,29,26,26,24,2,0
735,0,-12,-4,13,19,20,56,-5,0
740,33,-1,3,-1,9,10,74,-3,0
745,58,-13,1,17,25,10,59,0,0
750,16,-10,-1,2,4,-4,-67,-3,0
755,2,-10,1,-8,-23,-17,-59,-5,0
760,5,-8,1,-4,-1,-6,34,-3,0
765,40,-10,0,-23,-27,-11,-40,-5,0
770,-8,-7,-1,-3,-12,-1,-43,-6,0
775,-17,-9,-3,-10,-19,5,-59,-9,0
780,-1,-3,-1,9,11,12,61,-7,0
785,15,-3,-1,20,21,27,89,-14,0
790,3,-2,0,0,0,-4,-32,-14,0
795,-7,10,1,-20,-26,-27,-77,-3,0
800,6,5,-4,-1,-15,-12,6,5,0
805,26,0,-9,-20,-21,-17,-93,3,0
810,2,2,-8,-1,3,7,-45,6,0
815,1,-2,-6,0,2,20,-22,-6,0
820,1,9,-5,-6,9,23,23,0,0
825,6,-11,-3,3,32,15,48,-1,0
830,-14,-2,-5,-1,10,2,7,-1,0
835,-17,-27,-1,-27,-17,-38,-31,-1,0
840,-12,-22,3,-13,-5,-13,-3,-5,0
845,4,-17,6,8,-5,-4,87,1,0
850,-6,-20,5,5,-15,-19,-30,2,0
855,-7,-8,6,24,20,-14,29,4,0
860,-2,-10,9,3,-2,-11,26,4,0
865,4,6,-1,-24,-22,-25,-87,-2,0
870,-9,-3,4,1,-7,-10,-20,-9,0
875,-7,5,3,29,27,5,32,-8,0
880,-2,-5,-2,4,-3,-12,8,-7,0
885,-5,3,-5,-29,-43,-37,-94,-7,0
890,-1,9,-2,0,-5,4,-17,-5,0
895,-5,10,-5,7,8,21,71,-2,0
900,-6,15,-1,-4,12,7,21,-11,0
905,10,17,-4,7,16,31,17,14,0
910,8,18,4,1,8,18,12,21,0
915,8,-5,0,22,42,41,97,9,0
920,19,2,5,-2,12,14,9,-11,0
925,5,4,7,-11,8,0,-5,-37,0
930,10,10,-1,-20,-12,-9,-31,20,0
935,6,3,-1,15,16,27,62,23,0
940,5,9,-7,6,-10,10,14,12,0
945,-10,-24,-6,-8,-19,-5,-11,11,0
950,-10,-17,-5,17,2,15,22,-6,0
955,-16,-11,3,1,-12,8,77,2,0
960,-15,-20,-3,5,-1,-1,18,16,0
965,4,-1,0,-12,-26,-22,-54,7,0
970,-5,3,-5,-10,-16,-19,-5,0,0
975,-2,7,-3,21,31,9,41,6,0
980,5,7,-4,13,13,-1,9,-16,0
985,2,9,-2,2,-5,-15,-88,0,0
990,-1,-7,-2,-6,4,-5,-24,-1,0
995,-8,-9,0,-16,-13,-8,-128,9,0
1000,-6,-6,-1,-3,9,11,-128,-11,0
1005,8,8,0,11,10,19,-52,-10,0
1010,2,-3,0,3,5,2,127,-32,0
1015,2,6,-1,-8,-11,-11,78,-54,0
1020,-3,-1,-2,0,9,-4,-22,-43,0
1025,2,-5,0,2,2,6,20,-34,0
1030,3,-2,0,-3,3,-2,8,-6,0
1035,4,-2,-2,-9,-3,-6,-52,35,0
1040,3,-6,5,1,1,-4,-117,63,0
1045,-3,-5,2,6,14,8,-32,37,0
1050,-3,-4,3,6,6,-3,68,7,0
1055,-5,-2,-2,-2,-14,-1,55,-15,0
1060,-3,2,-2,3,-6,-4,-27,-9,0
1065,-11,4,-2,-8,-10,-12,19,-2,0
1070,-8,-2,-2,4,2,-2,64,-1,0
1075,-4,-1,2,2,-1,-6,27,-13,0
1080,-2,11,0,3,-10,2,-11,-19,0
1085,3,1,-1,7,-3,8,30,-13,0
1090,-2,2,-6,-4,-10,-8,41,-30,0
1095,1,3,5,-2,-3,1,13,-42,0
1100,3,1,-5,-5,1,3,-8,-70,0
1105,2,3,-6,4,0,11,12,-117,0
1110,3,6,1,-4,4,10,12,13,0
1115,-4,-4,-3,-4,-6,-7,12,-124,0
1120,-1,2,0,-2,-5,5,-6,-89,0
1125,2,-1,-2,-4,-2,-2,3,1,0
1130,3,-4,1,-2,-2,-1,1,26,0
1135,-1,-2,-2,-6,-5,-1,-6,101,0
1140,-6,-9,-1,4,3,3,-30,127,0
1145,-4,-10,-3,4,10,-1,-12,119,0
1150,2,-5,-1,9,14,10,6,114,0
1155,4,-4,-2,-4,-14,-4,-8,42,0
1160,4,-3,2,-1,-4,1,-14,99,0
1165,1,-2,-2,-10,-9,-5,-10,54,0
1170,-5,-3,-3,-10,-9,-14,4,-75,0
1175,2,6,-7,18,28,9,7,45,0
1180,-5,-1,-2,2,1,3,-12,101,0
1185,-4,1,2,3,7,-2,0,-14,0
1190,-4,3,1,-5,-8,-8,-6,62,0
1195,-2,-5,-3,-7,-2,-6,-15,81,0
1200,1,-9,3,-6,-14,-10,-4,-60,0
1205,-2,-1,-2,6,5,0,7,-25,0
1210,0,1,-5,-2,-7,0,7,-128,0
