Timestamp, Acceleration x, Acceleration y, Acceleration z
20,-0.334961,-0.834961,0.676758,
50,-0.318359,-0.952148,0.675293,
70,-0.325684,-0.824219,0.710938,
90,-0.292969,-0.633301,0.750977,
110,-0.249512,-0.633301,0.761719,
120,-0.242188,-0.757813,0.750488,
120,-0.228027,-0.761719,0.682129,
160,-0.204102,-0.707031,0.66748,
180,-0.144531,-0.607422,0.664551,
200,-0.12793,-0.516602,0.63916,
220,-0.0751953,-0.512695,0.629883,
240,-0.0727539,-0.552246,0.638672,
260,-0.074707,-0.54248,0.631836,
280,-0.0561523,-0.508301,0.632813,
300,-0.0395508,-0.478027,0.644043,
320,-0.0332031,-0.460449,0.641113,
340,-0.0517578,-0.478027,0.615234,
360,-0.0649414,-0.48877,0.598145,
380,-0.0429688,-0.466309,0.632813,
400,-0.0141602,-0.478516,0.66748,
420,-0.0078125,-0.502441,0.677246,
440,-0.00488281,-0.495117,0.664063,
460,-0.027832,-0.504883,0.679199,
480,-0.0209961,-0.532227,0.682617,
500,-0.0141602,-0.522461,0.697266,
520,-0.0263672,-0.493164,0.697754,
540,-0.0244141,-0.509766,0.704102,
560,0.00195313,-0.51123,0.739258,
580,0.00195313,-0.50293,0.736328,
600,-0.0366211,-0.522461,0.728516,
620,-0.0288086,-0.533691,0.734375,
640,-0.00830078,-0.54541,0.756836,
660,-0.0185547,-0.563477,0.754395,
680,-0.0317383,-0.559082,0.749512,
700,-0.0234375,-0.564941,0.777832,
720,-0.00488281,-0.579102,0.790039,
740,-0.0195313,-0.572266,0.777832,
760,-0.0488281,-0.540039,0.748047,
780,-0.0371094,-0.559082,0.751953,
800,-0.0400391,-0.563965,0.763184,
820,-0.0415039,-0.55957,0.766602,
840,-0.0615234,-0.54541,0.76123,
860,-0.0571289,-0.565918,0.752441,
880,-0.0771484,-0.572266,0.741211,
900,-0.074707,-0.556152,0.729004,
920,-0.0522461,-0.541504,0.751465,
940,-0.0419922,-0.550293,0.756348,
960,-0.0463867,-0.560547,0.759277,
980,-0.0581055,-0.557129,0.744629,
1000,-0.059082,-0.549805,0.728027,
1020,-0.0605469,-0.540039,0.728516,
1040,-0.0576172,-0.539551,0.742188,
1060,-0.0473633,-0.539551,0.752441,
1080,-0.0488281,-0.541504,0.744629,
1100,-0.0610352,-0.546875,0.733887,
1120,-0.0566406,-0.567871,0.726074,
1140,-0.0400391,-0.564941,0.738281,
1160,-0.0571289,-0.549316,0.736816,
1180,-0.0566406,-0.540527,0.742676,
1200,-0.0463867,-0.542969,0.742676,
1220,-0.0522461,-0.565918,0.745605,
1240,-0.0556641,-0.555664,0.735352,
1260,-0.0517578,-0.554199,0.734863,
1280,-0.0561523,-0.560547,0.742188,
1300,-0.0512695,-0.557617,0.733398,
1320,-0.0566406,-0.547852,0.740234,
1340,-0.0444336,-0.550781,0.742188,
1360,-0.0444336,-0.549316,0.747559,
1380,-0.050293,-0.564453,0.737793,
1400,-0.0566406,-0.553711,0.73584,
1420,-0.0463867,-0.559082,0.731445,
1440,-0.0463867,-0.562012,0.731445,
1460,-0.0405273,-0.562988,0.741699,
1480,-0.0473633,-0.553223,0.731934,
1500,-0.0576172,-0.553711,0.739258,
1520,-0.0458984,-0.554688,0.745117,
1540,-0.0517578,-0.557129,0.744629,
1560,-0.0629883,-0.553223,0.741699,
1580,-0.0551758,-0.566895,0.739258,
1600,-0.0600586,-0.55957,0.742676,
1620,-0.0639648,-0.570313,0.73877,
1640,-0.0566406,-0.566406,0.737305,
1660,-0.0380859,-0.569824,0.754883,
1680,-0.0444336,-0.556152,0.744141,
1700,-0.0517578,-0.547852,0.742188,
1720,-0.0439453,-0.555664,0.736816,
1740,-0.0493164,-0.5625,0.744141,
1760,-0.0493164,-0.553711,0.744629,
1780,-0.0522461,-0.542969,0.736328,
1800,-0.0541992,-0.555176,0.748047,
1820,-0.0522461,-0.561035,0.743164,
1840,-0.0546875,-0.554688,0.740234,
1860,-0.0561523,-0.550293,0.737793,
1880,-0.0537109,-0.546387,0.733887,
1900,-0.0566406,-0.54834,0.737305,
1920,-0.0576172,-0.540527,0.731934,
1940,-0.0581055,-0.55957,0.73291,
1960,-0.0566406,-0.563477,0.73291,
1980,-0.0620117,-0.547363,0.731934,
2000,-0.0615234,-0.541992,0.73291,
2020,-0.0532227,-0.546387,0.734375,
2040,-0.0483398,-0.561523,0.734863,
2060,-0.0556641,-0.548828,0.730469,
2080,-0.0546875,-0.560547,0.726563,
2100,-0.0439453,-0.558594,0.737305,
2120,-0.0493164,-0.552246,0.75,
2140,-0.0566406,-0.561035,0.740234,
2160,-0.0678711,-0.57373,0.736816,
2180,-0.0688477,-0.575684,0.742676,
2200,-0.0683594,-0.566895,0.734375,
2220,-0.0791016,-0.555664,0.732422,
2230,-0.0629883,-0.557617,0.741211,
2250,-0.0556641,-0.57959,0.737793,
2270,-0.0717773,-0.578613,0.723145,
2290,-0.0751953,-0.568359,0.72168,
2310,-0.0708008,-0.543945,0.715332,
2330,-0.0742188,-0.546875,0.713379,
2350,-0.0810547,-0.57373,0.703613,
2370,-0.081543,-0.573242,0.699707,
2390,-0.0820313,-0.55957,0.698242,
2410,-0.0776367,-0.574219,0.687012,
2430,-0.0883789,-0.588867,0.689453,
2450,-0.0834961,-0.568848,0.699219,
2470,-0.065918,-0.56543,0.712891,
2490,-0.0688477,-0.569336,0.708496,
2510,-0.0761719,-0.576172,0.700195,
2530,-0.0922852,-0.581543,0.720215,
2550,-0.0800781,-0.551758,0.746582,
2570,-0.0488281,-0.53418,0.766113,
2590,-0.0805664,-0.560547,0.756836,
2610,-0.125,-0.555176,0.741699,
2630,-0.134766,-0.525879,0.757324,
2650,-0.0825195,-0.492188,0.76123,
2670,-0.0830078,-0.534668,0.76709,
2690,-0.112305,-0.550293,0.775879,
2710,-0.0932617,-0.521973,0.802246,
2730,-0.0600586,-0.547852,0.826172,
2750,-0.104492,-0.520508,0.825195,
2770,-0.119141,-0.504395,0.844238,
2790,-0.102539,-0.507324,0.871582,
2810,-0.0585938,-0.559082,0.898926,
2830,-0.0615234,-0.562012,0.899902,
2850,-0.0825195,-0.516113,0.905762,
2870,-0.0600586,-0.519531,0.958008,
2890,0.00585938,-0.572754,1.01611,
2910,0.00390625,-0.57373,0.981934,
2930,-0.0356445,-0.509766,0.936035,
2950,-0.0219727,-0.45166,0.958496,
2970,0.0332031,-0.469238,0.955078,
2990,0.0175781,-0.465332,0.944824,
3010,0.0185547,-0.407227,0.917969,
3030,0.0463867,-0.384766,0.891113,
3050,0.0625,-0.371094,0.854492,
3070,0.0922852,-0.355469,0.839844,
3090,0.126465,-0.326172,0.79248,
3110,0.160156,-0.320801,0.765137,
3130,0.180176,-0.337402,0.711914,
3150,0.176758,-0.312988,0.671387,
3170,0.200684,-0.277832,0.635254,
3190,0.213867,-0.247559,0.621094,
3210,0.208984,-0.23291,0.607422,
3230,0.200195,-0.244141,0.588379,
3250,0.231445,-0.327148,0.557617,
3270,0.249023,-0.377441,0.524414,
3290,0.244141,-0.358398,0.5,
3310,0.252441,-0.363281,0.507324,
3330,0.249512,-0.429199,0.503906,
3350,0.250488,-0.486816,0.504395,
3370,0.260742,-0.51709,0.535156,
3390,0.29834,-0.521484,0.570313,
3410,0.287109,-0.552246,0.574219,
3430,0.240723,-0.583984,0.545898,
3450,0.231445,-0.644531,0.574707,
3470,0.279297,-0.628418,0.650391,
3490,0.219727,-0.618164,0.547363,
3510,0.0976563,-0.602051,0.55957,
3530,-0.0180664,-0.596191,0.597168,
3550,0.0253906,-0.6875,0.693359,
3570,0.0678711,-0.709473,0.71875,
3590,-0.0195313,-0.628418,0.703125,
3610,-0.0522461,-0.558594,0.766113,
3630,-0.00195313,-0.659668,0.75,
3650,-0.0673828,-0.71582,0.776367,
3670,-0.123047,-0.663086,0.790039,
3690,-0.111328,-0.597168,0.824219,
3710,-0.0610352,-0.650391,0.888672,
3730,-0.100098,-0.703125,0.850586,
3750,-0.192871,-0.638184,0.822266,
3770,-0.18457,-0.582031,0.839355,
3790,-0.15918,-0.575195,0.890137,
3810,-0.162109,-0.61084,0.908203,
3830,-0.208496,-0.587891,0.92627,
3850,-0.219727,-0.561523,0.90918,
3870,-0.234863,-0.528809,0.941406,
3890,-0.219727,-0.48877,0.942871,
3910,-0.219727,-0.482422,0.979492,
3930,-0.224121,-0.426758,0.961426,
3950,-0.22168,-0.448242,0.952148,
3970,-0.192871,-0.443848,0.944336,
3990,-0.152832,-0.415039,0.948242,
4010,-0.114746,-0.429688,0.94873,
4030,-0.121582,-0.408203,0.905273,
4050,-0.0986328,-0.416992,0.875488,
4070,-0.0405273,-0.416016,0.853516,
4090,-0.0102539,-0.411621,0.847656,
4100,0.000488281,-0.419434,0.806152,
4120,-0.019043,-0.411133,0.754395,
4140,0.000488281,-0.379395,0.720703,
4160,0.0405273,-0.365723,0.719238,
4180,0.0620117,-0.368652,0.683594,
4200,0.0737305,-0.385742,0.671875,
4220,0.0874023,-0.405762,0.653809,
4240,0.106445,-0.418457,0.63916,
4260,0.105957,-0.405762,0.619629,
4280,0.0825195,-0.430176,0.598633,
4300,0.0922852,-0.467773,0.575684,
4320,0.111328,-0.518066,0.576172,
4340,0.14502,-0.529785,0.57373,
4360,0.143066,-0.515137,0.557617,
4380,0.119629,-0.557617,0.563965,
4400,0.134766,-0.619629,0.57666,
4420,0.118652,-0.631348,0.567871,
4440,0.125,-0.617188,0.577148,
4460,0.0898438,-0.628418,0.574707,
4480,0.0551758,-0.697266,0.586426,
4500,0.0483398,-0.717773,0.590332,
4520,0.00537109,-0.656738,0.560059,
4540,-0.0444336,-0.604492,0.560547,
4560,-0.0830078,-0.645996,0.617676,
4580,-0.046875,-0.793945,0.623535,
4600,-0.0957031,-0.792969,0.629883,
4620,-0.192871,-0.681641,0.596191,
4640,-0.208008,-0.591797,0.677734,
4660,-0.138184,-0.730469,0.714355,
4680,-0.202637,-0.791016,0.723633,
4700,-0.22998,-0.747559,0.721191,
4720,-0.22998,-0.719727,0.756348,
4740,-0.182129,-0.742676,0.837891,
4760,-0.187988,-0.783203,0.874023,
4780,-0.227539,-0.722656,0.847168,
4800,-0.245117,-0.651367,0.868652,
4820,-0.262207,-0.63916,0.90918,
4840,-0.219727,-0.639648,0.992188,
4860,-0.216797,-0.611328,1.01807,
4880,-0.234863,-0.591797,0.996582,
4900,-0.226074,-0.586426,0.98584,
4920,-0.192871,-0.526855,1.01611,
4940,-0.135742,-0.532227,1.0249,
4960,-0.117676,-0.513672,1.00732,
4980,-0.0703125,-0.476563,0.986328,
5000,-0.0336914,-0.418457,0.937988,
5020,-0.0244141,-0.375,0.85498,
5040,-0.0366211,-0.306152,0.812988,
5060,-0.0146484,-0.257813,0.765625,
5080,0.000976563,-0.252441,0.752441,
5100,0.0146484,-0.243652,0.729004,
5120,0.03125,-0.243164,0.696289,
5140,0.0219727,-0.230957,0.665039,
5160,0.0390625,-0.261719,0.656738,
5180,0.0576172,-0.262695,0.633301,
5200,0.0644531,-0.289063,0.610352,
5220,0.109863,-0.358398,0.597656,
5240,0.117676,-0.381348,0.54834,
5260,0.112305,-0.391602,0.498535,
5280,0.112793,-0.387695,0.502441,
5300,0.144531,-0.432129,0.503418,
5320,0.161621,-0.499023,0.495605,
5340,0.181641,-0.562988,0.512695,
5360,0.191895,-0.58252,0.532227,
5380,0.203125,-0.625488,0.538086,
5400,0.165527,-0.679199,0.501465,
5420,0.113281,-0.616699,0.496582,
5440,0.105469,-0.591797,0.573242,
5460,0.106445,-0.65625,0.620117,
5480,0.0493164,-0.783203,0.628418,
5500,-0.0371094,-0.744141,0.633301,
5520,-0.0795898,-0.683594,0.64502,
5540,-0.0786133,-0.699707,0.693359,
5560,-0.0957031,-0.797852,0.711426,
5580,-0.136719,-0.833984,0.738281,
5600,-0.154785,-0.799316,0.789551,
5620,-0.135742,-0.744141,0.823242,
5640,-0.176758,-0.758789,0.772461,
5660,-0.199219,-0.773926,0.80957,
5680,-0.181152,-0.756348,0.798828,
5700,-0.188965,-0.687988,0.877441,
5720,-0.164551,-0.677734,0.926758,
5740,-0.187988,-0.725098,0.939941,
5760,-0.248047,-0.679688,0.905273,
5780,-0.244141,-0.577637,0.936035,
5800,-0.246094,-0.522461,0.938965,
5820,-0.244629,-0.496582,0.943848,
5840,-0.225098,-0.46582,0.980957,
5860,-0.227051,-0.460449,0.95752,
5880,-0.224121,-0.427734,0.949219,
5900,-0.193848,-0.382324,0.933594,
5920,-0.157227,-0.378906,0.925293,
5940,-0.143066,-0.395996,0.900391,
5960,-0.112305,-0.431152,0.858398,
5980,-0.0605469,-0.409668,0.84668,
6000,-0.0297852,-0.431152,0.837891,
6020,0.000488281,-0.479492,0.808105,
6040,0.0395508,-0.507813,0.756348,
6060,0.0629883,-0.458008,0.697754,
6080,0.0776367,-0.350586,0.638672,
6100,0.0761719,-0.275391,0.611816,
6120,0.0932617,-0.321289,0.621582,
6140,0.111816,-0.336914,0.625977,
6160,0.131348,-0.340332,0.608398,
6180,0.145508,-0.37207,0.571777,
6200,0.154785,-0.414063,0.560059,
6220,0.176758,-0.423828,0.540527,
6240,0.141602,-0.414551,0.523926,
6260,0.108887,-0.413574,0.519043,
6280,0.111328,-0.513184,0.518555,
6300,0.121582,-0.562012,0.513672,
6320,0.127441,-0.570801,0.552734,
6340,0.126465,-0.581543,0.589844,
6360,0.0927734,-0.689453,0.548828,
6380,0.0473633,-0.75293,0.540527,
6400,0.0351563,-0.803223,0.564453,
6420,-0.0366211,-0.79248,0.608398,
6440,-0.0957031,-0.726074,0.688965,
6460,-0.17334,-0.593262,0.658203,
6480,-0.216797,-0.57666,0.697754,
6500,-0.253906,-0.515137,0.675293,
6520,-0.272461,-0.505859,0.794922,
6540,-0.239258,-0.548828,0.854004,
6560,-0.234863,-0.640137,0.850098,
6580,-0.29248,-0.654785,0.884766,
6600,-0.268066,-0.600098,0.907715,
6620,-0.258789,-0.568848,0.980469,
6640,-0.281738,-0.524902,0.98877,
6660,-0.29834,-0.492188,0.986816,
6680,-0.29248,-0.47168,0.947754,
6700,-0.339355,-0.38623,0.960938,
6720,-0.282715,-0.409668,1.03223,
6740,-0.257324,-0.380859,1.06836,
6760,-0.253418,-0.417969,1.04785,
6780,-0.228516,-0.415527,1.00244,
6800,-0.212891,-0.378418,0.975098,
6820,-0.180176,-0.384766,0.969727,
6840,-0.123047,-0.346191,0.955566,
6860,-0.0761719,-0.348145,0.916504,
6880,-0.0390625,-0.348145,0.871094,
6900,-0.012207,-0.347168,0.834473,
6920,0.00488281,-0.306152,0.779297,
6940,0.0136719,-0.275391,0.742188,
6960,0.034668,-0.279297,0.728516,
6980,0.0463867,-0.27832,0.696777,
7000,0.0537109,-0.28418,0.664063,
7020,0.0546875,-0.322754,0.666504,
7040,0.0673828,-0.354004,0.640137,
7060,0.101563,-0.374023,0.654785,
7080,0.134766,-0.403809,0.642578,
7100,0.123047,-0.409668,0.615234,
7120,0.100098,-0.438965,0.584473,
7140,0.123047,-0.538086,0.566895,
7160,0.176758,-0.580078,0.575195,
7180,0.221191,-0.571289,0.59082,
7200,0.200684,-0.552246,0.558594,
7220,0.168457,-0.626953,0.555176,
7240,0.174316,-0.706543,0.553711,
7260,0.147461,-0.695313,0.530273,
7280,0.108398,-0.597656,0.532227,
7300,0.0761719,-0.620117,0.535645,
7320,0.0625,-0.711426,0.543457,
7330,0.0341797,-0.783203,0.590332,
7350,0.0170898,-0.696777,0.664063,
7370,-0.0297852,-0.643555,0.701172,
7390,-0.103516,-0.730469,0.717773,
7410,-0.164063,-0.762207,0.746094,
7430,-0.199707,-0.710449,0.766602,
7450,-0.198242,-0.63916,0.823242,
7470,-0.184082,-0.664551,0.875977,
7490,-0.237793,-0.640625,0.881836,
7510,-0.271484,-0.539063,0.88623,
7530,-0.260742,-0.55127,0.958008,
7550,-0.226074,-0.570313,1.03076,
7570,-0.213379,-0.597168,1.03857,
7590,-0.244141,-0.509766,0.992676,
7610,-0.227539,-0.430176,0.999023,
7630,-0.220215,-0.40918,1,
7650,-0.195801,-0.402344,1.01025,
7670,-0.172363,-0.375977,0.990234,
7690,-0.162109,-0.370605,0.966797,
7710,-0.126953,-0.385742,0.934082,
7730,-0.0825195,-0.381836,0.901367,
7750,-0.0556641,-0.353516,0.869629,
7770,-0.0200195,-0.318848,0.82959,
7790,0.00683594,-0.31543,0.813477,
7810,0.0219727,-0.316406,0.77002,
7830,0.00244141,-0.314941,0.720703,
7850,0.0112305,-0.352051,0.67041,
7870,0.0571289,-0.357422,0.64502,
7890,0.0800781,-0.34375,0.587402,
7910,0.0966797,-0.36377,0.584961,
7930,0.121094,-0.402344,0.591797,
7950,0.117676,-0.456543,0.566895,
7970,0.102539,-0.449707,0.539551,
7990,0.119629,-0.453613,0.512207,
8010,0.162109,-0.515625,0.522461,
8030,0.193848,-0.580078,0.544922,
8050,0.185059,-0.615234,0.55957,
8070,0.13623,-0.628906,0.528809,
8090,0.0952148,-0.578613,0.544434,
8110,0.0961914,-0.619141,0.550781,
8130,0.0908203,-0.699219,0.572754,
8150,0.0366211,-0.700195,0.577148,
8170,-0.0234375,-0.683105,0.591797,
8190,-0.0239258,-0.692383,0.608887,
8210,-0.0629883,-0.713379,0.625,
8230,-0.0922852,-0.70752,0.654785,
8250,-0.111328,-0.777344,0.68457,
8270,-0.105957,-0.768066,0.699707,
8290,-0.129395,-0.746094,0.725098,
8310,-0.165527,-0.702637,0.804688,
8330,-0.196289,-0.652344,0.82373,
8350,-0.189941,-0.698242,0.862305,
8370,-0.177734,-0.756348,0.91748,
8390,-0.231445,-0.646484,0.91748,
8410,-0.254395,-0.533691,0.940918,
8430,-0.248047,-0.537109,1.00342,
8450,-0.23584,-0.557129,1.05957,
8470,-0.234863,-0.531738,1.0752,
8490,-0.243164,-0.512695,1.05859,
8510,-0.232422,-0.456055,1.04639,
8530,-0.210938,-0.433594,1.02783,
8550,-0.194336,-0.430664,1.01611,
8570,-0.168945,-0.417969,0.96582,
8590,-0.149414,-0.405762,0.919922,
8610,-0.11377,-0.395996,0.896484,
8630,-0.074707,-0.388184,0.854004,
8650,-0.0498047,-0.387207,0.799805,
8670,-0.0458984,-0.355469,0.726563,
8690,-0.0327148,-0.365723,0.677246,
8710,0.0141602,-0.375488,0.668945,
8730,0.0546875,-0.422852,0.636719,
8750,0.0419922,-0.37793,0.594238,
8770,0.0463867,-0.351563,0.561035,
8790,0.0688477,-0.401855,0.541016,
8810,0.105469,-0.423828,0.533691,
8830,0.114258,-0.449219,0.505371,
8850,0.0864258,-0.459473,0.491211,
8870,0.0869141,-0.483887,0.5,
8890,0.126465,-0.537598,0.518555,
8910,0.170898,-0.597168,0.504395,
8930,0.185059,-0.638184,0.541504,
8950,0.158203,-0.664551,0.546875,
8970,0.102051,-0.651855,0.543945,
8990,0.0849609,-0.644531,0.552246,
9010,0.0507813,-0.646973,0.541992,
9030,-0.0214844,-0.679199,0.547852,
9050,-0.0117188,-0.748535,0.612793,
9060,-0.0209961,-0.772461,0.631836,
9090,-0.0668945,-0.717285,0.656738,
9110,-0.121094,-0.666504,0.683594,
9130,-0.112793,-0.73291,0.753418,
9150,-0.128418,-0.782715,0.767578,
9170,-0.174805,-0.747559,0.785645,
9190,-0.208496,-0.663086,0.791016,
9210,-0.185059,-0.640625,0.842285,
9220,-0.182129,-0.717285,0.911133,
9240,-0.208496,-0.657715,0.92334,
9260,-0.22998,-0.540527,0.930664,
9280,-0.21582,-0.51709,0.981934,
9300,-0.232422,-0.52002,1.00391,
9320,-0.250488,-0.498047,1.01611,
9340,-0.233398,-0.434082,1.02588,
9360,-0.217285,-0.419434,1.04736,
9380,-0.215332,-0.431152,1.01465,
9400,-0.219727,-0.407715,0.981445,
9420,-0.178711,-0.387695,0.952637,
9440,-0.144043,-0.390137,0.913086,
9460,-0.115723,-0.373535,0.871582,
9480,-0.0957031,-0.365234,0.819824,
9500,-0.0664063,-0.35791,0.786621,
9520,-0.0415039,-0.357422,0.731445,
9540,-0.0185547,-0.362793,0.702637,
9560,0.0126953,-0.383301,0.660156,
9580,0.0332031,-0.39209,0.629395,
9600,0.0610352,-0.394043,0.629395,
9620,0.0810547,-0.405273,0.593262,
9640,0.0566406,-0.424316,0.554688,
9660,0.0439453,-0.469238,0.531738,
9680,0.0634766,-0.480957,0.510742,
9700,0.0927734,-0.505859,0.507324,
9720,0.112793,-0.54248,0.513184,
9740,0.0703125,-0.540527,0.460938,
9760,0.0957031,-0.68457,0.458496,
9780,0.149902,-0.727539,0.5,
9800,0.15625,-0.736328,0.518555,
9820,0.0668945,-0.669922,0.482422,
9840,-0.0249023,-0.677734,0.493652,
9860,-0.0258789,-0.75293,0.544434,
9880,0.00927734,-0.734375,0.592773,
9900,-0.0371094,-0.727051,0.611816,
9920,-0.102539,-0.780273,0.621094,
9940,-0.141602,-0.808594,0.67334,
9960,-0.16748,-0.779297,0.716797,
9980,-0.191406,-0.741699,0.723145,
10000,-0.224121,-0.748535,0.74707,
10020,-0.232422,-0.78125,0.780762,
10040,-0.23584,-0.750977,0.847656,
10060,-0.243652,-0.679199,0.930664,
10080,-0.200195,-0.733887,1.01025,
10100,-0.212402,-0.772949,1.00439,
10120,-0.299316,-0.657227,0.935547,
10140,-0.271973,-0.55127,0.986328,
10160,-0.243164,-0.521484,1.01563,
10180,-0.216309,-0.561523,1.00342,
10200,-0.234375,-0.541016,0.958008,
10220,-0.236816,-0.478027,0.914551,
10240,-0.187012,-0.435547,0.92041,
10260,-0.131836,-0.427246,0.894531,
10280,-0.11377,-0.425293,0.864258,
10300,-0.103027,-0.42627,0.813477,
10320,-0.0717773,-0.412598,0.782227,
10340,-0.0415039,-0.392578,0.764648,
10360,-0.0209961,-0.37207,0.743164,
10380,0,-0.352051,0.704102,
10400,-0.00195313,-0.334961,0.693848,
10420,0.00634766,-0.358887,0.659668,
10440,0.00927734,-0.351563,0.645996,
10460,0.0385742,-0.366211,0.638672,
10480,0.0712891,-0.371094,0.627441,
10500,0.0776367,-0.370605,0.600586,
10520,0.0566406,-0.390137,0.591797,
10540,0.0239258,-0.399902,0.554199,
10560,0.0537109,-0.410645,0.586426,
10580,0.0908203,-0.442871,0.566406,
10600,0.0649414,-0.454102,0.559082,
10620,0.0595703,-0.569824,0.558594,
10640,0.0595703,-0.605957,0.536133,
10660,0.0908203,-0.609375,0.558105,
10680,0.078125,-0.598633,0.568359,
10700,0.0566406,-0.678711,0.584473,
10720,0.0390625,-0.769531,0.59668,
10740,0.0800781,-0.817871,0.609375,
10760,0.0419922,-0.766113,0.592773,
10780,-0.0541992,-0.696289,0.593262,
10800,-0.100098,-0.680664,0.565918,
10820,-0.074707,-0.799805,0.594238,
10840,-0.110352,-0.839355,0.620605,
10860,-0.114258,-0.808105,0.666016,
10880,-0.0688477,-0.828125,0.736328,
10900,-0.0961914,-0.825195,0.769531,
10920,-0.134766,-0.871582,0.827148,
10940,-0.105957,-0.879395,0.867676,
10960,-0.12207,-0.844727,0.898926,
10980,-0.157227,-0.799805,0.898926,
11000,-0.194824,-0.758789,0.879395,
11020,-0.201172,-0.696289,0.895996,
11040,-0.182129,-0.646973,0.922852,
11060,-0.168457,-0.64502,0.929199,
11080,-0.171387,-0.624023,0.90332,
11100,-0.193359,-0.571777,0.887695,
11120,-0.175781,-0.508789,0.865234,
11140,-0.146484,-0.476074,0.85791,
11160,-0.109375,-0.456543,0.838867,
11180,-0.0839844,-0.481934,0.82373,
11200,-0.0698242,-0.46875,0.781738,
11220,-0.0703125,-0.425293,0.738281,
11240,-0.0478516,-0.394531,0.706055,
11260,-0.0180664,-0.381836,0.688477,
11280,0.000976563,-0.393066,0.681152,
