Timestamp, Angle x, Angle y, Angle z
20,-0.782366,0.292578,0.292706,
50,-0.780069,0.283416,0.28739,
70,-0.765031,0.270669,0.284509,
90,-0.752032,0.252879,0.281647,
110,-0.752811,0.230785,0.276558,
120,-0.759299,0.205987,0.269493,
120,-0.761083,0.179971,0.260911,
160,-0.752608,0.15273,0.252937,
180,-0.74006,0.125113,0.24573,
200,-0.729556,0.0998845,0.239248,
220,-0.723745,0.0764587,0.231948,
240,-0.720058,0.0567028,0.224053,
260,-0.714323,0.0407427,0.217934,
280,-0.707035,0.0279819,0.213709,
300,-0.699428,0.0181852,0.210665,
320,-0.693664,0.0115328,0.208464,
340,-0.689645,0.00759359,0.205569,
360,-0.684771,0.00495197,0.203614,
380,-0.678715,0.0029217,0.202958,
400,-0.674374,0.00173611,0.202309,
420,-0.671631,0.00215268,0.202466,
440,-0.669098,0.00376777,0.202587,
460,-0.665702,0.00651945,0.202176,
480,-0.662662,0.00969571,0.201771,
500,-0.658822,0.0132354,0.20265,
520,-0.655736,0.0174695,0.204243,
540,-0.655193,0.0218525,0.205849,
560,-0.65369,0.0253957,0.207203,
580,-0.651829,0.0289657,0.208045,
600,-0.650643,0.0331147,0.20844,
620,-0.649412,0.0364843,0.209231,
640,-0.649269,0.0391545,0.209883,
660,-0.650163,0.0421189,0.209948,
680,-0.650013,0.0450159,0.210143,
700,-0.649421,0.0469368,0.210265,
720,-0.64892,0.0482029,0.210358,
740,-0.647748,0.0497122,0.21101,
760,-0.646599,0.0509129,0.211506,
780,-0.646324,0.0509642,0.21174,
800,-0.646449,0.0510969,0.212475,
820,-0.646437,0.0512943,0.213446,
840,-0.646667,0.0518637,0.214303,
860,-0.647399,0.0522574,0.214823,
880,-0.647387,0.0523725,0.214784,
900,-0.646095,0.0523514,0.215167,
920,-0.645014,0.051575,0.215545,
940,-0.645732,0.0508779,0.215912,
960,-0.645907,0.0505461,0.216029,
980,-0.645622,0.0507896,0.216461,
1000,-0.644715,0.0507703,0.216715,
1020,-0.6437,0.0506971,0.216863,
1040,-0.642554,0.0503049,0.21723,
1060,-0.641723,0.0495939,0.217714,
1080,-0.641762,0.049287,0.217947,
1100,-0.642408,0.0493583,0.21832,
1120,-0.643465,0.0492805,0.218879,
1140,-0.643615,0.0491051,0.219456,
1160,-0.643507,0.0490548,0.220123,
1180,-0.642985,0.049002,0.220904,
1200,-0.643425,0.048739,0.221521,
1220,-0.644447,0.0490472,0.222084,
1240,-0.645319,0.0495349,0.222843,
1260,-0.645692,0.0496585,0.223451,
1280,-0.645966,0.0495353,0.223754,
1300,-0.645854,0.0493302,0.223948,
1320,-0.64511,0.0490137,0.224043,
1340,-0.644919,0.0486018,0.224445,
1360,-0.644919,0.0486018,0.224445,
1380,-0.645552,0.0487521,0.224662,
1400,-0.645539,0.0488671,0.224623,
1420,-0.645539,0.0488671,0.224623,
1440,-0.645539,0.0488671,0.224623,
1460,-0.645155,0.0488626,0.224751,
1480,-0.645241,0.0492246,0.225017,
1500,-0.645575,0.049767,0.224972,
1520,-0.645961,0.0498492,0.225081,
1540,-0.646322,0.0502004,0.225231,
1560,-0.646778,0.0506822,0.225331,
1580,-0.647563,0.050693,0.225469,
1600,-0.647945,0.0506586,0.225223,
1620,-0.648354,0.050394,0.225054,
1640,-0.648542,0.0498701,0.224973,
1660,-0.647982,0.0489125,0.224634,
1680,-0.647843,0.0488985,0.224632,
1700,-0.647748,0.0487291,0.224565,
1720,-0.647811,0.0481152,0.22464,
1740,-0.647976,0.0478991,0.224719,
1760,-0.64733,0.0478297,0.225118,
1780,-0.647073,0.0478814,0.225745,
1800,-0.647196,0.0478598,0.226008,
1820,-0.647196,0.0478598,0.226008,
1840,-0.646502,0.0483665,0.226608,
1860,-0.645947,0.0488869,0.22721,
1880,-0.645638,0.0494368,0.227802,
1900,-0.645741,0.0498394,0.22858,
1920,-0.64569,0.0502652,0.229082,
1940,-0.646091,0.050311,0.229466,
1960,-0.646344,0.0505354,0.230048,
1980,-0.645688,0.0506567,0.230647,
2000,-0.645663,0.0508525,0.231225,
2020,-0.646161,0.0511073,0.231796,
2040,-0.647004,0.0517132,0.232122,
2060,-0.647027,0.0528454,0.232788,
2080,-0.647162,0.0541831,0.233259,
2100,-0.646524,0.0552801,0.234052,
2120,-0.645863,0.0567232,0.235124,
2140,-0.646466,0.0584692,0.235852,
2160,-0.647164,0.0603858,0.236647,
2180,-0.647268,0.0617643,0.237224,
2200,-0.647028,0.0628641,0.237509,
2220,-0.646537,0.063704,0.23787,
2230,-0.646569,0.063742,0.238004,
2250,-0.647817,0.0638934,0.23756,
2270,-0.648534,0.0644057,0.237264,
2290,-0.647975,0.0648405,0.23686,
2310,-0.647264,0.0653367,0.236298,
2330,-0.648111,0.066012,0.235308,
2350,-0.649562,0.0667177,0.233384,
2370,-0.64999,0.0674886,0.230923,
2390,-0.649595,0.068818,0.227757,
2410,-0.649062,0.0700877,0.223307,
2430,-0.647462,0.0717774,0.217422,
2450,-0.643915,0.0736134,0.209939,
2470,-0.640083,0.0746291,0.20119,
2490,-0.636688,0.0753336,0.19165,
2510,-0.634282,0.0758879,0.18167,
2530,-0.631833,0.077127,0.170955,
2550,-0.626578,0.0781288,0.160622,
2570,-0.621932,0.078501,0.14961,
2590,-0.62064,0.0800532,0.138073,
2610,-0.617389,0.0825965,0.125228,
2630,-0.610268,0.0846637,0.112019,
2650,-0.604733,0.0843963,0.0985182,
2670,-0.603733,0.0839104,0.0840812,
2690,-0.602663,0.0834931,0.0689985,
2710,-0.598424,0.0823113,0.0542665,
2730,-0.595649,0.0804716,0.0386824,
2750,-0.591859,0.0795944,0.023238,
2770,-0.586916,0.077543,0.00756752,
2790,-0.583143,0.0730354,-0.00853706,
2810,-0.582854,0.0658827,-0.0247407,
2830,-0.583009,0.0571685,-0.0393423,
2850,-0.582989,0.0459835,-0.0524274,
2870,-0.582178,0.0312958,-0.0653329,
2890,-0.581132,0.0132245,-0.078129,
2910,-0.57808,-0.00538826,-0.0892359,
2930,-0.572661,-0.0251249,-0.0973897,
2950,-0.566225,-0.0481437,-0.104579,
2970,-0.561286,-0.0735008,-0.111874,
2990,-0.555288,-0.098947,-0.117287,
3010,-0.546986,-0.125812,-0.120033,
3030,-0.539925,-0.15378,-0.121136,
3050,-0.534828,-0.18202,-0.120463,
3070,-0.528766,-0.210402,-0.117859,
3090,-0.522791,-0.23791,-0.11248,
3110,-0.519161,-0.263924,-0.103558,
3130,-0.516964,-0.287229,-0.0924452,
3150,-0.513201,-0.307218,-0.0783373,
3170,-0.509378,-0.324013,-0.0610348,
3190,-0.507014,-0.337049,-0.0413089,
3210,-0.507369,-0.346375,-0.0196514,
3230,-0.51122,-0.352298,0.00305776,
3250,-0.518251,-0.355881,0.026685,
3270,-0.526171,-0.355519,0.0522952,
3290,-0.534367,-0.351702,0.0806341,
3310,-0.545413,-0.344599,0.109472,
3330,-0.56054,-0.334031,0.137894,
3350,-0.575166,-0.319973,0.166235,
3370,-0.587479,-0.302352,0.193172,
3390,-0.596338,-0.282392,0.217432,
3410,-0.60379,-0.259667,0.237837,
3430,-0.611332,-0.233872,0.254274,
3450,-0.614676,-0.2056,0.267193,
3470,-0.60967,-0.172515,0.272343,
3490,-0.603688,-0.138366,0.27584,
3510,-0.60151,-0.102838,0.280554,
3530,-0.59924,-0.0683799,0.283297,
3550,-0.597118,-0.0382394,0.282651,
3570,-0.594803,-0.0106332,0.280706,
3590,-0.589623,0.0169654,0.277228,
3610,-0.586505,0.04186,0.270425,
3630,-0.593902,0.0627009,0.259485,
3650,-0.602342,0.0820982,0.247431,
3670,-0.604654,0.0986895,0.234188,
3690,-0.605906,0.111091,0.219264,
3710,-0.611007,0.119639,0.202173,
3730,-0.616853,0.128725,0.182751,
3750,-0.617671,0.138108,0.162994,
3770,-0.615805,0.144534,0.142475,
3790,-0.615565,0.147555,0.120012,
3810,-0.617,0.148749,0.0966297,
3830,-0.61604,0.148745,0.0744226,
3850,-0.61479,0.146427,0.0537519,
3870,-0.610799,0.141156,0.0340904,
3890,-0.606407,0.133093,0.0154736,
3910,-0.601793,0.122464,-0.00142608,
3930,-0.596109,0.109524,-0.0161567,
3950,-0.592698,0.0937413,-0.0296647,
3970,-0.590626,0.0756319,-0.0405097,
3990,-0.587885,0.0553711,-0.0489181,
4010,-0.585331,0.03362,-0.0560379,
4030,-0.582034,0.0113977,-0.0602565,
4050,-0.579566,-0.0116638,-0.0617563,
4070,-0.578551,-0.0353131,-0.0608413,
4090,-0.577936,-0.0577652,-0.0580077,
4100,-0.578217,-0.0785083,-0.0527427,
4120,-0.57743,-0.0971287,-0.0443227,
4140,-0.575348,-0.114905,-0.0331747,
4160,-0.57411,-0.131341,-0.0203595,
4180,-0.57593,-0.145128,-0.00557191,
4200,-0.579271,-0.156172,0.0112417,
4220,-0.582744,-0.164122,0.0297609,
4240,-0.586385,-0.168956,0.0495821,
4260,-0.589127,-0.170296,0.0698266,
4280,-0.593891,-0.168473,0.0909804,
4300,-0.600851,-0.164919,0.113505,
4320,-0.610537,-0.158966,0.137109,
4340,-0.619663,-0.151045,0.160165,
4360,-0.628396,-0.140777,0.182665,
4380,-0.637735,-0.128428,0.204384,
4400,-0.647997,-0.113455,0.224748,
4420,-0.656191,-0.095868,0.243835,
4440,-0.662283,-0.0768731,0.261033,
4460,-0.669366,-0.0554798,0.274817,
4480,-0.675792,-0.0329212,0.285726,
4500,-0.677941,-0.00834899,0.292998,
4520,-0.674728,0.0172782,0.29691,
4540,-0.675632,0.0431763,0.298774,
