Timestamp, Rotation x, Rotation y, Rotation z, Marker
40,2.0625,1.75,2.625,0
60,-0.25,0.75,3,0
80,-2.125,-1.125,2.0625,0
100,-2.625,-2.3125,1.125,0
110,-3.3125,-1.875,-1.1875,0
110,-3.875,-1.0625,-3.9375,0
150,-3.625,-1.3125,-5.375,0
170,-3.875,-2.75,-6.625,0
190,-4.5625,-4.8125,-7.0625,0
210,-6.0625,-6.4375,-6.4375,0
230,-6.9375,-7.875,-5.3125,0
250,-6.25,-8.5,-5.375,0
270,-5,-8.875,-5.6875,0
290,-6.0625,-10.4375,-5,0
310,-8.75,-13.25,-4.25,0
330,-9.6875,-16.75,-3.9375,0
350,-9.4375,-20.25,-3.6875,0
370,-8.5625,-24.3125,-4.375,0
390,-7.4375,-28.5,-5.9375,0
410,-5.1875,-30.75,-9.6875,0
430,-1.9375,-29,-18.0625,0
450,1.5,-20.0625,-33.375,0
470,4.625,-3.625,-54.9375,0
490,10.4375,12,-76.6875,0
510,9.5,15.0625,-92.8125,0
530,-4.875,11.625,-109,0
550,-29.1875,10.1875,-126.5,0
570,-44.6875,4.0625,-130.75,0
590,-40.375,-5.8125,-131.875,0
610,-22.9375,-14.4375,-128.438,0
630,-10.1875,-23.9375,-119.938,0
650,6.25,-33.5625,-108.562,0
670,23.5625,-43.4375,-91.8125,0
690,47.1875,-56.375,-60.5,0
710,85,-77,-46,0
730,99.25,-92.75,-32.5,0
750,82.625,-103.125,-11.625,0
770,55.8125,-99.6875,5.5,0
790,17.0625,-92.625,9.1875,0
810,-12.5,-79.0625,7.9375,0
830,-23.75,-62.9375,5.0625,0
850,-18.5625,-49.125,3.8125,0
870,5.6875,-38.625,5.3125,0
890,29.125,-32.6875,8.75,0
910,38.0625,-28.5625,13.4375,0
930,19.9375,-27.4375,15.625,0
950,-2.4375,-27.875,17.375,0
970,-17.5625,-24.6875,17.625,0
990,-18.5625,-20.875,17.125,0
1010,-7.5,-15.125,14.25,0
1030,7.5,-14.0625,13.125,0
1050,15.1875,-18.375,17.25,0
1070,20.4375,-28,25.8125,0
1090,26.8125,-36.625,33.5,0
1110,30.5625,-43.25,38.3125,0
1130,34.0625,-44.1875,39.25,0
1150,18,-27.5625,41,0
1170,49.1875,0.1875,21.4375,0
1190,43.0625,25.375,-3.6875,0
1210,-12.0625,18.0625,-4.375,0
1230,-49,9.3125,9.3125,0
1250,-39.625,4.8125,17,0
1270,2.375,6.75,7.3125,0
1290,26.9375,5.75,2.25,0
1310,25.5625,4.125,4.9375,0
1330,11.125,1.1875,7.6875,0
1350,-0.1875,1,8.4375,0
1370,-6.6875,2.3125,5.6875,0
1390,-5.5,4.6875,4.125,0
1410,-1.5625,6.625,3.6875,0
1430,-0.4375,7.625,1.3125,0
1450,-4.3125,7.5,-0.9375,0
1470,-7.125,6.375,-0.3125,0
1490,-3.4375,4.3125,0.125,0
1510,1.25,2.3125,-0.4375,0
1530,5.625,1.8125,-2.125,0
1550,3.9375,2.0625,-3.5,0
1570,-2.5625,1.6875,-2.0625,0
1590,-5.75,0.125,0.125,0
1610,-3.5,-0.5,0.5625,0
1630,-0.0625,-0.3125,2.6875,0
1650,1.5,0.625,5.3125,0
1670,9.25,2.4375,4.6875,0
1690,10.5625,2.25,3.625,0
1710,13.1875,5.5,2.4375,0
1730,15.3125,10,-1.0625,0
1750,-4.6875,5.625,-4.25,0
1770,-21.4375,0,0.5,0
1790,-15.6875,-1.625,2,0
1810,-3.0625,0.625,-0.1875,0
1830,11,3,-2.1875,0
1850,6.4375,3.375,-2.875,0
1870,-2.8125,2,0.1875,0
1890,-5.0625,1.3125,0.875,0
1910,-3.5,0.9375,0.1875,0
1930,-2.0625,0.75,0.3125,0
1950,-1.625,0.9375,0.75,0
1970,-2.125,1.0625,0.875,0
1990,-2.5,1.3125,0.5,0
2010,-2.375,0.5625,1.125,0
2030,-2.875,0.25,2.125,0
2050,-1.0625,0.75,2.1875,0
2070,-0.5,1.625,0.6875,0
2090,-1.875,1.5,0.0625,0
2110,-1.9375,1.375,0.375,0
2130,-1,1.0625,0.5625,0
2150,-1.0625,0.9375,-0.4375,0
2170,-1.75,0.75,-0.4375,0
2190,-2.0625,0.4375,-0.4375,0
2210,-0.75,-0.0625,-0.4375,0
2230,0.125,-0.4375,-1.125,0
2250,-0.8125,-0.625,-1.125,0
2270,-1.0625,-0.625,-0.9375,0
2290,-0.3125,-0.5,-0.75,0
2310,-0.3125,-0.4375,-0.8125,0
2330,-0.75,-0.375,-0.3125,0
2350,-0.1875,0,-0.4375,0
2370,0.3125,0.375,-0.625,0
2390,-0.125,0.5,-0.9375,0
2410,-0.75,0.25,-1,0
2430,-0.5625,-0.0625,-1.0625,0
2450,-1.625,-0.6875,-0.3125,0
2470,-0.1875,-0.8125,0.375,0
2490,0.6875,-0.5,-0.5625,0
2510,0.5625,-0.4375,0,0
2530,-0.6875,-0.1875,-0.375,0
2550,-1.8125,0,-0.375,0
2570,-1.5625,0.0625,-0.75,0
2590,-1.1875,-0.0625,-0.5625,0
2610,-0.75,-0.0625,-0.25,0
2630,-0.3125,0.0625,-0.1875,0
2650,-0.1875,-0.3125,0.1875,0
2660,-0.9375,-0.625,0.25,0
2680,-0.9375,-0.3125,0.8125,0
2700,0.0625,0.5625,0.3125,0
2720,-0.375,1,-0.25,0
2740,-0.875,0.875,-0.125,0
2760,-1,0.875,0,0
2780,0.375,0.9375,0.3125,0
2800,1.4375,0.6875,-0.3125,0
2820,0.9375,0.375,-0.5625,0
2840,-0.1875,0.4375,-0.875,0
2860,-0.5625,0.25,-0.1875,0
2880,-0.375,0.3125,0.625,0
2900,2.0625,2,1.0625,0
2920,3.75,3.6875,-0.3125,0
2940,1.25,3.5625,-0.5,0
2960,-0.75,1.1875,0.1875,0
2980,-1.25,-1.75,0.875,0
3000,0,-3.75,3.4375,0
3020,4.3125,-3.4375,4.6875,0
3040,12.125,-1.3125,4.5,0
3060,19.9375,6.875,-2,0
3080,17.0625,10.5,-10,0
3100,-15.5,4.625,-8.375,0
