Timestamp, Angle x, Angle y, Angle z, Marker
30,0.446808,-0.478081,1.68324,0
50,0.44694,-0.477999,1.68322,0
70,0.446369,-0.47798,1.68341,0
90,0.446259,-0.477878,1.68341,0
110,0.446259,-0.477878,1.68341,0
120,0.446546,-0.478877,1.68326,0
140,0.446246,-0.479305,1.68329,0
170,0.446393,-0.47973,1.6831,0
190,0.447174,-0.480166,1.68229,0
210,0.447074,-0.479681,1.68145,0
230,0.448003,-0.479586,1.68063,0
250,0.447985,-0.479403,1.68063,0
270,0.447398,-0.479377,1.68041,0
290,0.447398,-0.479377,1.68041,0
310,0.447287,-0.479275,1.68041,0
330,0.447326,-0.479274,1.6804,0
350,0.447215,-0.479172,1.6804,0
370,0.447104,-0.47907,1.6804,0
390,0.447196,-0.478989,1.6804,0
410,0.447086,-0.478931,1.68059,0
430,0.446663,-0.478926,1.68038,0
450,0.446552,-0.478824,1.68038,0
470,0.447203,-0.47843,1.67996,0
490,0.44658,-0.478081,1.67993,0
510,0.445497,-0.477229,1.68029,0
530,0.445517,-0.477045,1.68028,0
550,0.445406,-0.476943,1.68028,0
570,0.445779,-0.476794,1.67986,0
590,0.44642,-0.477325,1.67989,0
610,0.445631,-0.477324,1.67987,0
630,0.446142,-0.47757,1.6799,0
650,0.446031,-0.477468,1.6799,0
670,0.445903,-0.477226,1.68009,0
690,0.446808,-0.477139,1.67969,0
710,0.446698,-0.477081,1.67988,0
730,0.446698,-0.477081,1.67988,0
750,0.446718,-0.476896,1.67987,0
770,0.446109,-0.476879,1.68007,0
790,0.445998,-0.476777,1.68007,0
810,0.445926,-0.476675,1.68006,0
830,0.445815,-0.476573,1.68006,0
850,0.445168,-0.477187,1.68027,0
870,0.444041,-0.477615,1.68029,0
890,0.443429,-0.477966,1.68051,0
910,0.443483,-0.478473,1.68033,0
930,0.443519,-0.478796,1.68014,0
950,0.443221,-0.479225,1.68017,0
970,0.442982,-0.47947,1.68017,0
990,0.442525,-0.479688,1.67976,0
1010,0.442619,-0.480151,1.67938,0
1030,0.443243,-0.480131,1.67938,0
1050,0.443225,-0.479991,1.67957,0
1070,0.443019,-0.480295,1.6794,0
1090,0.443038,-0.480479,1.67941,0
1110,0.442006,-0.480502,1.6796,0
1130,0.441895,-0.4804,1.6796,0
1150,0.441895,-0.4804,1.6796,0
1170,0.441644,-0.480271,1.67918,0
1190,0.442367,-0.479979,1.67876,0
1210,0.442624,-0.480874,1.67859,0
1230,0.427798,-0.478899,1.68523,0
1250,0.440461,-0.484945,1.68025,0
1270,0.441913,-0.476737,1.68024,0
1290,0.445875,-0.471778,1.67861,0
1310,0.455333,-0.476091,1.67379,0
1330,0.468128,-0.487897,1.66766,0
1350,0.479806,-0.503867,1.66183,0
1370,0.485622,-0.519182,1.65901,0
1390,0.48381,-0.527164,1.66045,0
1410,0.474957,-0.525397,1.66494,0
1430,0.461748,-0.513807,1.67177,0
1440,0.458415,-0.509168,1.67338,0
1460,0.456408,-0.504705,1.67436,0
1480,0.456277,-0.501686,1.67439,0
1500,0.458016,-0.501217,1.67355,0
1520,0.469744,-0.510557,1.66765,0
1540,0.472605,-0.514452,1.66621,0
1560,0.474508,-0.518527,1.66518,0
1580,0.474302,-0.520739,1.66531,0
1600,0.46517,-0.518703,1.6704,0
1620,0.461986,-0.515603,1.67189,0
1640,0.458854,-0.510982,1.67349,0
1660,0.457049,-0.506538,1.67446,0
1680,0.458924,-0.497808,1.67338,0
1700,0.466977,-0.500781,1.66964,0
1720,0.479415,-0.514335,1.66352,0
1740,0.488026,-0.531062,1.65878,0
1760,0.489339,-0.543489,1.6582,0
1780,0.487533,-0.543837,1.65927,0
1800,0.472838,-0.533086,1.66688,0
1820,0.459258,-0.516361,1.67361,0
1840,0.45233,-0.500016,1.6772,0
1860,0.454304,-0.491709,1.67592,0
1880,0.463751,-0.496485,1.67106,0
1900,0.475382,-0.51142,1.66461,0
1920,0.481645,-0.52632,1.66061,0
1940,0.478012,-0.532418,1.66304,0
1960,0.466872,-0.52514,1.66934,0
1980,0.453814,-0.50846,1.67708,0
2000,0.444725,-0.489786,1.68217,0
2020,0.44364,-0.479085,1.68283,0
2040,0.450867,-0.480852,1.67928,0
2060,0.46183,-0.493753,1.67341,0
2080,0.469134,-0.509577,1.66947,0
2100,0.468592,-0.518057,1.66994,0
2120,0.458143,-0.514566,1.67537,0
2140,0.454758,-0.51093,1.67702,0
2160,0.445939,-0.493054,1.68155,0
2180,0.444347,-0.481546,1.68214,0
2200,0.450795,-0.48075,1.67927,0
2220,0.462429,-0.491794,1.67372,0
2240,0.471809,-0.508132,1.66982,0
2260,0.472248,-0.518677,1.67039,0
2280,0.463187,-0.516169,1.67546,0
2300,0.449637,-0.50279,1.68275,0
2320,0.439354,-0.486329,1.68816,0
2340,0.436748,-0.474489,1.68892,0
2360,0.443482,-0.47397,1.68547,0
2380,0.454966,-0.484738,1.67992,0
2400,0.464183,-0.500712,1.67501,0
2420,0.464522,-0.503335,1.67474,0
2440,0.460005,-0.507942,1.67621,0
2460,0.458301,-0.504843,1.67665,0
2480,0.458073,-0.504682,1.67685,0
2500,0.457286,-0.504274,1.67703,0
2520,0.456427,-0.503716,1.67701,0
2540,0.456333,-0.503473,1.67719,0
2560,0.456105,-0.503267,1.67719,0
2580,0.455153,-0.502467,1.67735,0
2600,0.454583,-0.501349,1.6779,0
2620,0.454777,-0.500084,1.67824,0
2640,0.454537,-0.499545,1.678,0
2660,0.454351,-0.498969,1.67797,0
2680,0.454217,-0.498727,1.67816,0
2700,0.454124,-0.498439,1.67815,0
2720,0.453938,-0.498233,1.67814,0
2740,0.454054,-0.497754,1.67874,0
2760,0.453695,-0.497721,1.67914,0
2780,0.452985,-0.497785,1.67935,0
2800,0.452401,-0.497591,1.67996,0
2820,0.452341,-0.497127,1.68033,0
2840,0.452115,-0.496921,1.68034,0
2860,0.451519,-0.496349,1.68051,0
2880,0.451613,-0.495573,1.68066,0
2900,0.451342,-0.495211,1.68003,0
2920,0.451363,-0.495026,1.68002,0
2940,0.451945,-0.494183,1.68079,0
2960,0.451825,-0.493904,1.68119,0
2980,0.451389,-0.493547,1.6818,0
3000,0.451139,-0.49307,1.68259,0
3020,0.450427,-0.492219,1.68317,0
3040,0.450203,-0.492058,1.68336,0
3060,0.450091,-0.491956,1.68336,0
3080,0.450913,-0.491257,1.68311,0
3100,0.452508,-0.489984,1.68162,0
3120,0.453502,-0.489668,1.67725,0
3140,0.455286,-0.495004,1.66765,0
3160,0.452926,-0.500478,1.65583,0
3180,0.44984,-0.506011,1.6409,0
3200,0.447625,-0.511578,1.61647,0
3220,0.438913,-0.514187,1.5921,0
3240,0.440223,-0.529959,1.54799,0
3260,0.446907,-0.547231,1.49301,0
3280,0.474948,-0.575379,1.41342,0
3300,0.539643,-0.609994,1.2911,0
3320,0.63808,-0.641864,1.11152,0
3340,0.760627,-0.66618,0.883556,0
3360,0.844144,-0.678156,0.702441,0
3380,0.849017,-0.695052,0.556037,0
3400,0.859379,-0.682123,0.410641,0
3420,0.925682,-0.655492,0.27298,0
3440,0.991886,-0.62787,0.0991469,0
3460,1.10907,-0.571963,-0.0686228,0
3480,1.24608,-0.514976,-0.202151,0
3500,1.30283,-0.474361,-0.303962,0
3520,1.35236,-0.447585,-0.391139,0
3540,1.4111,-0.396282,-0.461388,0
3560,1.45926,-0.340103,-0.524105,0
3580,1.50016,-0.309477,-0.582165,0
3600,1.52715,-0.302747,-0.619487,0
3620,1.53628,-0.30236,-0.640024,0
3640,1.5395,-0.29901,-0.650146,0
3660,1.54169,-0.296458,-0.659046,0
3680,1.54726,-0.295855,-0.675087,0
3700,1.56012,-0.2916,-0.697618,0
3720,1.57761,-0.29066,-0.722361,0
3740,1.59144,-0.293375,-0.740292,0
3760,1.60328,-0.297021,-0.757368,0
3780,1.61763,-0.30096,-0.770201,0
3800,1.62792,-0.305286,-0.783096,0
3820,1.64228,-0.310361,-0.797249,0
3840,1.65838,-0.320586,-0.81644,0
3860,1.67866,-0.333986,-0.842636,0
3880,1.70417,-0.343393,-0.879628,0
3900,1.74272,-0.349791,-0.933565,0
3920,1.79261,-0.355157,-0.99363,0
3930,1.86113,-0.362548,-1.05666,0
3950,1.92665,-0.371329,-1.11248,0
3970,1.99106,-0.377514,-1.15671,0
3990,2.05357,-0.386596,-1.19067,0
4010,2.1172,-0.398161,-1.22178,0
4030,2.18203,-0.407736,-1.25159,0
4050,2.24549,-0.416725,-1.27784,0
4070,2.3104,-0.42679,-1.30503,0
4090,2.38323,-0.445284,-1.33206,0
4110,2.4676,-0.474248,-1.35758,0
4130,2.55372,-0.509121,-1.37761,0
4150,2.63647,-0.544125,-1.39862,0
4170,2.71547,-0.589334,-1.43404,0
4190,2.79815,-0.639328,-1.48891,0
4210,2.88071,-0.693465,-1.55661,0
4230,2.92548,-0.75841,-1.60055,0
4250,2.97428,-0.842315,-1.63653,0
4270,3.02646,-0.91244,-1.71376,0
4290,3.07717,-0.978651,-1.82103,0
4310,3.1016,-1.03883,-1.89152,0
4330,3.11836,-1.09229,-1.94085,0
4350,3.09365,-1.16792,-1.95901,0
4370,3.02061,-1.25655,-1.91836,0
4390,2.91534,-1.35204,-1.82035,0
4410,2.6101,-1.38001,-1.59131,0
4430,2.24622,-1.18184,-1.32294,0
4450,2.10505,-0.93423,-1.23941,0
4470,1.95187,-0.738594,-1.26984,0
4490,1.71945,-0.593126,-1.28729,0
4510,1.54647,-0.538741,-1.26198,0
4530,1.29435,-0.476035,-1.1839,0
4550,1.00044,-0.380195,-1.0967,0
4570,0.777359,-0.334138,-1.07474,0
4590,0.63508,-0.351833,-1.07734,0
4610,0.488191,-0.365531,-1.08095,0
4630,0.362773,-0.345126,-1.09428,0
4650,0.255915,-0.316531,-1.06156,0
4670,0.149109,-0.271343,-0.993395,0
4690,0.0638779,-0.207623,-0.937123,0
4710,0.0188393,-0.138323,-0.885536,0
4730,-0.00802805,-0.0643263,-0.84932,0
4750,-0.0248255,0.0132912,-0.821201,0
4770,-0.0183811,0.0781456,-0.801095,0
4790,0.0096209,0.145958,-0.78016,0
4810,0.0523294,0.19167,-0.737662,0
4830,0.101519,0.223551,-0.660001,0
4850,0.133574,0.260744,-0.579341,0
4870,0.172579,0.302931,-0.502096,0
4890,0.220205,0.34409,-0.419976,0
4910,0.258938,0.371819,-0.329171,0
4930,0.274324,0.390473,-0.247025,0
4950,0.273371,0.407632,-0.178119,0
4970,0.278605,0.422676,-0.122681,0
4990,0.300254,0.412366,-0.079191,0
5010,0.333222,0.358617,-0.0579475,0
5030,0.376733,0.276303,-0.0647053,0
5050,0.431763,0.191886,-0.0885493,0
5070,0.497239,0.109207,-0.109059,0
5090,0.563983,0.0284711,-0.117919,0
5110,0.643979,-0.0367456,-0.122352,0
5130,0.730895,-0.103511,-0.106253,0
5150,0.817949,-0.191256,-0.063614,0
5170,0.897733,-0.296658,-0.0169495,0
5190,0.97981,-0.421852,0.0237659,0
5210,1.05479,-0.569006,0.0487061,0
5230,1.1191,-0.722951,0.070495,0
5250,1.17845,-0.903026,0.104129,0
5270,1.17563,-1.08446,0.181165,0
5290,1.09344,-1.26224,0.330854,0
5310,0.587849,-1.29872,0.843437,0
5330,0.155089,-1.19387,1.32899,0
5350,-0.0841333,-1.01151,1.59608,0
5370,-0.198643,-0.853173,1.74679,0
5390,-0.288032,-0.724395,1.87837,0
5410,-0.31102,-0.624983,1.95162,0
5430,-0.269855,-0.590746,1.98428,0
5450,-0.232771,-0.579923,2.00683,0
5470,-0.187831,-0.607685,2.01949,0
5490,-0.132506,-0.644503,2.02675,0
5510,-0.0703133,-0.661791,2.02026,0
5530,-0.0337993,-0.655979,2.02954,0
5550,-0.0197471,-0.64871,2.04468,0
5570,-0.0119656,-0.657183,2.04768,0
5590,-0.0196959,-0.666372,2.04944,0
5610,-0.0327128,-0.675537,2.0487,0
5630,-0.0332674,-0.682878,2.04245,0
5650,-0.024081,-0.687951,2.03464,0
5670,-0.0119652,-0.695988,2.02405,0
5690,0.00382775,-0.704317,2.01067,0
5710,0.0149281,-0.70961,2.00069,0
5730,0.0221364,-0.714376,1.99182,0
5750,0.026119,-0.715537,1.98699,0
5770,0.0286392,-0.712489,1.98489,0
5790,0.0374491,-0.707699,1.9799,0
5810,0.0573605,-0.697575,1.96893,0
5830,0.101657,-0.678269,1.94305,0
5850,0.175028,-0.650461,1.90024,0
5870,0.300472,-0.616164,1.81538,0
5890,0.492491,-0.598958,1.66645,0
5910,0.738437,-0.578792,1.41591,0
5930,0.824972,-0.465469,1.18237,0
5950,0.969588,-0.37238,0.877114,0
5970,1.06495,-0.295364,0.57779,0
5990,1.15216,-0.171564,0.259415,0
6010,1.19289,-0.0540427,0.0276515,0
6030,1.15128,0.027954,-0.10607,0
6050,1.09554,0.0738017,-0.145213,0
6070,1.0192,0.158401,-0.107715,0
6090,0.951638,0.22785,-0.0645917,0
6110,0.907875,0.25687,-0.0626224,0
6130,0.880189,0.258051,-0.0825468,0
6150,0.826705,0.240647,-0.108827,0
6170,0.7661,0.21769,-0.148079,0
6190,0.70814,0.205921,-0.174522,0
6210,0.652307,0.195558,-0.17717,0
6230,0.581018,0.189369,-0.15329,0
6250,0.491554,0.193192,-0.121987,0
6270,0.396118,0.209498,-0.0904392,0
6290,0.320241,0.218321,-0.0678766,0
6310,0.269679,0.196109,-0.0447399,0
6330,0.240711,0.148666,-0.0152748,0
6350,0.228883,0.0985703,0.0140459,0
6370,0.22619,0.0552435,0.0318397,0
6390,0.228178,0.0249564,0.0611115,0
6400,0.209185,-0.000518486,0.114891,0
6420,0.15661,-0.0257714,0.172935,0
6440,0.120495,-0.0296146,0.204908,0
6460,0.0680935,0.0175311,0.235285,0
6480,-0.102969,-0.0260033,0.2372,0
6500,-0.11858,-0.0319737,0.242543,0
6520,-0.147597,-0.133711,0.283575,0
6540,-0.145076,-0.184747,0.282965,0
6560,-0.10662,-0.200501,0.271558,0
6580,-0.102121,-0.216969,0.264956,0
6600,-0.115244,-0.207619,0.273125,0
6620,-0.0980599,-0.184335,0.269503,0
6640,-0.108146,-0.179619,0.27689,0
6660,-0.133498,-0.146644,0.28015,0
6680,-0.133952,-0.122303,0.273621,0
6700,-0.152276,-0.0899316,0.260719,0
6720,-0.18665,-0.0979281,0.259362,0
6740,-0.215314,-0.101986,0.263345,0
6760,-0.241088,-0.109971,0.26832,0
6780,-0.291053,-0.111362,0.267081,0
6800,-0.32955,-0.104557,0.262863,0
6820,-0.35927,-0.0859458,0.252973,0
6840,-0.43594,-0.0713313,0.246251,0
6860,-0.488365,-0.0646642,0.244045,0
6880,-0.559525,-0.0581483,0.24591,0
6900,-0.62121,-0.0625239,0.246813,0
6920,-0.690332,-0.0654213,0.245913,0
6940,-0.75232,-0.0809784,0.250055,0
6960,-0.857014,-0.0867386,0.25508,0
6980,-0.944077,-0.0930321,0.26012,0
7000,-1.01512,-0.085444,0.253643,0
7020,-1.09981,-0.083018,0.243884,0
7040,-1.17996,-0.0804894,0.246882,0
7060,-1.28929,-0.0728879,0.244825,0
7080,-1.41561,-0.070764,0.240454,0
7100,-1.5636,-0.071108,0.237479,0
7120,-1.6885,-0.0734368,0.238394,0
