EMG Data,
 Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8
0.000000,-52,-52,-52,-52,-52,-52,-52,-52,
173.000000,48,35,-111,-1,111,0,21,37,
175.000000,14,3,-26,-13,-1,-2,1,3,
176.000000,-34,-27,85,0,-85,-1,-15,-24,
178.000000,-30,-17,102,4,-52,-2,-15,-19,
180.000000,32,21,-52,-3,57,1,10,18,
181.000000,21,11,-47,-7,19,-1,6,8,
185.000000,-21,-15,55,1,-54,0,-8,-11,
187.000000,-32,-18,93,2,-58,-2,-12,-23,
189.000000,24,12,-50,-3,57,0,10,17,
192.000000,20,9,-27,-11,23,-1,4,9,
196.000000,-13,-15,61,-1,-62,1,-10,-17,
198.000000,-23,-14,82,2,-50,-5,-10,-11,
200.000000,19,18,-41,1,46,-2,12,16,
202.000000,5,2,-9,-12,-7,-6,3,1,
209.000000,-20,-14,59,2,-60,1,-10,-13,
215.000000,-16,-6,48,3,-31,0,-4,-6,
216.000000,26,17,-36,-2,41,-1,6,14,
225.000000,5,-2,23,-8,-23,-2,-8,-5,
231.000000,-14,-10,42,-1,-41,-4,-6,-12,
233.000000,-6,-1,25,0,-14,-2,1,-3,
235.000000,11,4,-14,-10,17,0,1,11,
246.000000,0,-1,12,0,-10,2,-2,5,
249.000000,-13,-7,31,-4,-27,-1,-4,-10,
254.000000,-6,-5,22,-3,-16,5,-2,-7,
287.000000,47,30,-111,-8,111,-2,17,34,
289.000000,6,-3,34,-15,-48,-1,-2,-4,
291.000000,-38,-22,90,1,-93,-3,-11,-27,
293.000000,-21,-11,56,4,-26,-2,-10,-13,
297.000000,35,22,-57,3,64,-1,12,19,
301.000000,8,1,5,-11,-19,-6,-1,0,
303.000000,-21,-18,61,0,-70,2,-8,-18,
305.000000,-22,-18,75,2,-54,0,-6,-18,
307.000000,22,23,-51,-3,58,-1,10,16,
309.000000,15,9,8,-9,-6,-2,3,6,
313.000000,-23,-21,67,-7,-66,-1,-12,-16,
316.000000,-18,-12,47,5,-18,1,-6,-11,
319.000000,22,17,-46,-8,51,0,2,12,
321.000000,6,1,0,-7,-12,-2,0,-1,
328.000000,-25,-10,63,0,-62,-1,-7,-13,
335.000000,-16,-6,16,6,-14,4,3,4,
337.000000,18,8,-36,-3,38,-5,4,9,
343.000000,1,-3,16,-9,-23,-7,-6,-10,
352.000000,-13,-10,43,-1,-45,-7,-6,-6,
354.000000,-8,-2,5,2,0,-3,1,-1,
356.000000,8,8,-14,2,18,2,6,7,
366.000000,0,-2,10,-2,-17,2,2,3,
370.000000,-8,-1,30,2,-27,-3,-3,-6,
372.000000,-7,-1,17,1,-14,-5,-6,-4,
374.000000,-1,0,-6,-3,8,-6,0,5,
380.000000,3,-4,13,-6,-16,-1,-8,-1,
388.000000,-4,-4,22,-1,-18,-2,1,-6,
395.000000,-7,0,10,-1,-12,-1,-5,-2,
397.000000,1,1,-2,0,6,0,2,0,
403.000000,0,2,21,-2,-11,0,2,-2,
411.000000,-2,-3,25,1,-22,-1,-4,0,
414.000000,-4,-2,21,-1,-9,-3,-1,-3,
415.000000,7,-1,-4,1,5,-1,3,4,
427.000000,-5,-4,10,-4,-17,0,-1,6,
431.000000,-11,-3,23,0,-21,-4,-4,-3,
433.000000,2,3,12,-4,-9,-1,1,-1,
434.000000,5,0,0,-7,0,-4,-5,5,
448.000000,-2,2,18,1,-13,2,-3,-3,
453.000000,-4,-4,19,-1,-13,-1,3,0,
456.000000,0,2,9,-1,4,0,-4,-3,
457.000000,0,4,7,-8,-5,-6,-3,-1,
462.000000,0,4,18,2,-13,-3,-4,-1,
471.000000,1,-1,16,1,-11,3,-3,-1,
473.000000,0,-5,2,-1,-8,0,0,-1,
475.000000,-1,0,7,-2,-3,-1,-2,1,
487.000000,-3,-1,14,-3,-12,-4,1,1,
491.000000,0,-1,16,-3,-9,1,0,0,
494.000000,4,5,8,2,-1,-1,-1,0,
495.000000,1,0,7,-1,-8,1,1,-4,
500.000000,-2,3,5,-2,-20,-3,-3,-4,
508.000000,-1,1,16,1,-9,1,-9,-5,
515.000000,-5,-4,11,-3,0,-3,0,1,
520.000000,0,0,7,0,-5,1,4,-6,
522.000000,-3,-3,13,-2,-16,-2,1,-3,
531.000000,-8,-2,15,1,-11,2,-4,0,
535.000000,6,3,0,4,3,2,-1,0,
537.000000,1,-3,7,-6,-7,0,-6,0,
546.000000,-5,0,13,-3,-12,1,-3,0,
551.000000,-2,0,15,0,-10,-1,-1,-5,
553.000000,-1,-1,8,0,-2,-2,2,-1,
554.000000,-3,-3,8,-5,-10,1,1,-3,
569.000000,-4,-3,17,-2,-14,-5,-4,-7,
572.000000,2,-2,14,-1,-14,-1,-4,-2,
575.000000,4,2,7,0,-2,-1,3,6,
577.000000,5,1,9,-1,-6,1,-3,1,
582.000000,-3,-10,12,-3,-13,1,-2,-2,
590.000000,2,-4,13,-4,-15,-3,1,-4,
597.000000,0,6,10,-4,-1,-3,-1,1,
599.000000,3,2,10,-1,-7,-2,1,-1,
606.000000,-2,-1,20,-1,-11,-1,0,-1,
611.000000,-4,-3,14,-4,-15,-4,-4,-7,
613.000000,4,0,10,1,-5,0,-1,2,
615.000000,4,-2,8,2,-6,0,-2,-1,
620.000000,-5,-5,15,-8,-13,-2,-9,-4,
628.000000,1,-2,14,-3,-16,0,-3,-2,
635.000000,1,3,2,-3,-8,3,4,-3,
637.000000,-1,4,10,1,-5,-4,0,5,
644.000000,3,-5,24,0,-18,2,-1,-4,
650.000000,-7,-5,14,-5,-18,0,-5,-2,
657.000000,3,-5,-3,0,-5,4,-2,1,
659.000000,-4,-2,10,-2,-9,-1,5,-1,
666.000000,1,0,9,3,-9,3,0,0,
670.000000,-1,-2,13,-7,-13,-7,-3,-8,
673.000000,-2,0,11,2,-16,-7,-4,2,
675.000000,-4,-3,8,0,-10,4,-5,1,
680.000000,0,-3,31,0,-28,-5,-2,2,
689.000000,-2,-5,14,-4,-12,-2,-3,2,
695.000000,4,-4,3,2,-1,-9,-1,1,
696.000000,-4,-4,8,1,-8,2,-1,1,
703.000000,-8,0,28,-2,-17,0,2,-5,
710.000000,0,3,18,-1,-13,-4,-2,-1,
719.000000,6,2,3,0,-2,-1,3,-2,
721.000000,-3,2,8,6,-8,-2,2,2,
726.000000,-4,-5,21,0,-7,-1,-4,-3,
729.000000,-9,-7,17,-5,-15,-1,2,0,
732.000000,4,5,5,-6,-9,1,-1,-1,
734.000000,8,2,8,2,-9,1,-1,3,
740.000000,-2,-5,20,0,-20,0,3,2,
748.000000,-3,2,16,-3,-15,-3,-5,-3,
755.000000,2,-2,-8,0,-4,-1,3,3,
756.000000,2,0,9,4,-8,-7,1,2,
762.000000,-1,-2,8,3,-6,-4,-2,-3,
771.000000,-4,-2,16,-5,-15,4,1,-1,
